epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.3706,1.73212,5.59994,1.6324,0.41712,0.39852,0.37296,0.17675,1.79462,5.33699,1.7619,0.000552035,0.000552035,0.000552035
2,83.3072,1.73652,3.37748,1.6234,0.30813,0.41084,0.3352,0.16215,1.95269,4.79619,1.93984,0.00109399,0.00109399,0.00109399
3,122.631,1.73482,3.31209,1.63328,0.28529,0.3106,0.25637,0.11594,1.90568,11.8356,1.95293,0.0016222,0.0016222,0.0016222
4,160.447,1.71126,3.13606,1.61134,0.61189,0.36732,0.42647,0.19216,1.75252,3.78067,1.72877,0.00160511,0.00160511,0.00160511
5,198.515,1.65917,3.01063,1.56959,0.43364,0.53025,0.49952,0.22636,1.70081,3.24177,1.62202,0.00158448,0.00158448,0.00158448
6,236.769,1.6273,2.86474,1.54995,0.52193,0.51858,0.52644,0.26657,1.5792,2.77896,1.58292,0.00156385,0.00156385,0.00156385
7,274.776,1.58636,2.68989,1.5123,0.34742,0.50069,0.43166,0.23037,1.66155,3.38769,1.59516,0.00154323,0.00154323,0.00154323
8,312.541,1.57921,2.67915,1.49992,0.52067,0.58006,0.55944,0.27897,1.58093,2.66272,1.52153,0.0015226,0.0015226,0.0015226
9,350.761,1.53072,2.61938,1.47713,0.45997,0.58535,0.56908,0.30572,1.51236,2.50309,1.52267,0.00150197,0.00150197,0.00150197
10,388.912,1.53597,2.52829,1.45864,0.49508,0.55334,0.52578,0.27667,1.57445,2.59852,1.54432,0.00148134,0.00148134,0.00148134
11,426.655,1.47164,2.42923,1.43352,0.47852,0.50728,0.4976,0.24281,1.66149,2.86309,1.59709,0.00146071,0.00146071,0.00146071
12,464.361,1.50444,2.48329,1.46082,0.65759,0.58959,0.64277,0.32852,1.4984,2.37306,1.47336,0.00144008,0.00144008,0.00144008
13,502.397,1.48151,2.40736,1.43564,0.66545,0.55807,0.59311,0.31789,1.50732,2.71198,1.52719,0.00141945,0.00141945,0.00141945
14,540.347,1.47688,2.4273,1.4285,0.62373,0.62207,0.64809,0.35846,1.43697,2.32079,1.43638,0.00139882,0.00139882,0.00139882
15,578.493,1.43982,2.29234,1.40501,0.64656,0.55761,0.62942,0.3439,1.45225,2.26024,1.47054,0.00137819,0.00137819,0.00137819
16,616.312,1.44623,2.28719,1.41669,0.74414,0.63646,0.70049,0.37223,1.50283,2.2304,1.48846,0.00135756,0.00135756,0.00135756
17,654.406,1.41453,2.23903,1.39337,0.63235,0.54958,0.59658,0.3338,1.46469,2.50041,1.46541,0.00133693,0.00133693,0.00133693
18,692.309,1.425,2.2309,1.39256,0.65801,0.63133,0.6766,0.36655,1.47258,2.13987,1.47669,0.0013163,0.0013163,0.0013163
19,730.511,1.39683,2.1456,1.37114,0.63981,0.64568,0.68155,0.37878,1.41145,2.16362,1.41427,0.00129568,0.00129568,0.00129568
20,768.729,1.3775,2.15454,1.37019,0.71036,0.64244,0.68989,0.3893,1.41747,2.14519,1.40926,0.00127505,0.00127505,0.00127505
21,806.75,1.36699,2.13988,1.34663,0.66799,0.66203,0.7169,0.40557,1.40116,1.99887,1.42032,0.00125442,0.00125442,0.00125442
22,844.682,1.37822,2.09611,1.36401,0.72549,0.66123,0.69184,0.37842,1.3782,2.09134,1.38739,0.00123379,0.00123379,0.00123379
23,883.033,1.34645,2.08037,1.35151,0.62654,0.65171,0.68798,0.3723,1.42749,1.96648,1.42473,0.00121316,0.00121316,0.00121316
24,921.051,1.33891,1.99317,1.34247,0.72907,0.60905,0.67946,0.37409,1.41816,1.95527,1.4378,0.00119253,0.00119253,0.00119253
25,958.903,1.34234,2.02245,1.34391,0.74719,0.61274,0.70539,0.40122,1.37944,1.95487,1.39582,0.0011719,0.0011719,0.0011719
26,996.593,1.34635,2.01368,1.34712,0.6719,0.70121,0.73365,0.41743,1.35311,1.94519,1.39243,0.00115127,0.00115127,0.00115127
27,1034.73,1.34664,1.98585,1.32904,0.69488,0.65104,0.71359,0.40165,1.40663,1.91134,1.42219,0.00113064,0.00113064,0.00113064
28,1072.83,1.31653,1.95974,1.33509,0.70033,0.64281,0.71785,0.38882,1.43486,2.03882,1.42738,0.00111001,0.00111001,0.00111001
29,1110.52,1.3072,1.93534,1.31148,0.71516,0.66589,0.73933,0.42269,1.3527,1.85411,1.37422,0.00108938,0.00108938,0.00108938
30,1148.47,1.30623,1.91068,1.3198,0.79164,0.63886,0.73261,0.41308,1.36269,2.01811,1.3646,0.00106876,0.00106876,0.00106876
31,1186.3,1.30389,1.89094,1.32051,0.74802,0.67389,0.74326,0.4214,1.36756,1.86559,1.38896,0.00104813,0.00104813,0.00104813
32,1224.12,1.2843,1.85521,1.30976,0.7899,0.67194,0.72821,0.41489,1.3848,1.87836,1.38482,0.0010275,0.0010275,0.0010275
33,1261.9,1.26545,1.81532,1.28524,0.71191,0.72192,0.74495,0.43199,1.33064,1.791,1.34816,0.00100687,0.00100687,0.00100687
34,1300.02,1.27083,1.80629,1.2905,0.77604,0.64734,0.7448,0.43006,1.34566,1.83869,1.36511,0.000986239,0.000986239,0.000986239
35,1337.83,1.26375,1.80086,1.29153,0.71468,0.65477,0.72429,0.41108,1.3432,1.8665,1.37248,0.00096561,0.00096561,0.00096561
36,1375.65,1.26142,1.79188,1.29731,0.83047,0.5944,0.71995,0.41923,1.32917,1.83506,1.36163,0.000944981,0.000944981,0.000944981
37,1413.26,1.25832,1.81391,1.28246,0.71473,0.67385,0.72776,0.41771,1.34957,1.90559,1.37118,0.000924352,0.000924352,0.000924352
38,1451.08,1.22973,1.75701,1.26726,0.74078,0.67424,0.74644,0.42871,1.33009,1.81368,1.34695,0.000903722,0.000903722,0.000903722
39,1488.86,1.23176,1.7498,1.26835,0.75725,0.64688,0.74238,0.43586,1.32201,1.77619,1.34819,0.000883093,0.000883093,0.000883093
40,1526.94,1.2447,1.76383,1.28068,0.7887,0.66228,0.75257,0.42589,1.32559,1.76486,1.35415,0.000862464,0.000862464,0.000862464
41,1564.69,1.21826,1.73254,1.25616,0.70219,0.67522,0.70778,0.41455,1.32653,1.78142,1.36354,0.000841835,0.000841835,0.000841835
42,1602.44,1.21197,1.6861,1.25426,0.76249,0.69569,0.76836,0.44064,1.32946,1.72293,1.34609,0.000821206,0.000821206,0.000821206
43,1640.47,1.19428,1.66339,1.25405,0.78416,0.61867,0.74359,0.43283,1.33187,1.74352,1.35644,0.000800577,0.000800577,0.000800577
44,1678.18,1.20005,1.66527,1.24539,0.72801,0.65804,0.72973,0.43396,1.2821,1.77069,1.32821,0.000779948,0.000779948,0.000779948
45,1715.69,1.20432,1.67357,1.24934,0.76873,0.69309,0.76547,0.44942,1.31598,1.74552,1.34991,0.000759318,0.000759318,0.000759318
46,1753.58,1.19069,1.63159,1.23439,0.7738,0.68007,0.76159,0.44782,1.32262,1.69412,1.3457,0.000738689,0.000738689,0.000738689
47,1791.34,1.19581,1.64757,1.23997,0.75417,0.67593,0.75075,0.43449,1.28333,1.76561,1.32526,0.00071806,0.00071806,0.00071806
48,1829.16,1.18697,1.61545,1.24325,0.78777,0.68067,0.76082,0.44749,1.29711,1.70987,1.32997,0.000697431,0.000697431,0.000697431
49,1866.89,1.16753,1.60882,1.23659,0.81912,0.67499,0.75867,0.4385,1.34537,1.68266,1.38473,0.000676802,0.000676802,0.000676802
50,1904.58,1.16269,1.60387,1.22409,0.76145,0.70895,0.78202,0.45516,1.31247,1.68783,1.3429,0.000656173,0.000656173,0.000656173
51,1942.67,1.17013,1.5856,1.23311,0.81544,0.68569,0.77856,0.44759,1.313,1.66033,1.33416,0.000635544,0.000635544,0.000635544
52,1980.46,1.15455,1.5728,1.22759,0.77215,0.68775,0.77432,0.46484,1.30455,1.63038,1.35139,0.000614915,0.000614915,0.000614915
53,2018.6,1.14265,1.53954,1.21829,0.79111,0.67835,0.7603,0.45416,1.31489,1.67354,1.34359,0.000594286,0.000594286,0.000594286
