epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.6194,1.71303,3.3713,1.64813,0.32806,0.33712,0.27537,0.11149,1.90744,8.83675,2.06033,0.000552035,0.000552035,0.000552035
2,99.3183,1.72171,2.06459,1.64694,0.39628,0.41198,0.36569,0.17302,1.80284,5.53843,1.99582,0.00109399,0.00109399,0.00109399
3,141.002,1.73883,2.00312,1.65039,0.38911,0.3294,0.30914,0.13933,2.02544,2.53176,1.96224,0.0016222,0.0016222,0.0016222
4,180.39,1.7199,1.92442,1.61177,0.44469,0.52791,0.423,0.18516,1.77275,2.83037,1.79131,0.00160511,0.00160511,0.00160511
5,219.602,1.65423,1.80167,1.58377,0.41645,0.60456,0.53803,0.27709,1.58729,1.71722,1.62201,0.00158448,0.00158448,0.00158448
6,259.207,1.61058,1.73629,1.54716,0.5196,0.54324,0.55818,0.28316,1.5759,1.63117,1.57979,0.00156385,0.00156385,0.00156385
7,298.623,1.57797,1.6441,1.52849,0.53761,0.47269,0.49573,0.25437,1.63911,1.64645,1.61205,0.00154323,0.00154323,0.00154323
8,338.847,1.55621,1.61439,1.51023,0.40562,0.50299,0.4631,0.24356,1.60494,1.77776,1.65718,0.0015226,0.0015226,0.0015226
9,379.821,1.52793,1.57379,1.4917,0.42923,0.573,0.49095,0.24332,1.65156,1.63705,1.65008,0.00150197,0.00150197,0.00150197
10,418.979,1.53206,1.54331,1.46111,0.51341,0.53614,0.54397,0.28494,1.52507,1.7296,1.52919,0.00148134,0.00148134,0.00148134
11,458.084,1.47538,1.48922,1.4524,0.55947,0.52966,0.54393,0.29015,1.49565,1.72137,1.52696,0.00146071,0.00146071,0.00146071
12,498.659,1.48655,1.50948,1.4521,0.63255,0.5785,0.61285,0.32514,1.52779,1.55763,1.53411,0.00144008,0.00144008,0.00144008
13,537.737,1.46161,1.45098,1.43673,0.63786,0.56419,0.58717,0.3115,1.50788,1.76589,1.52699,0.00141945,0.00141945,0.00141945
14,577.142,1.44124,1.42886,1.41915,0.62291,0.6356,0.65045,0.35697,1.44536,1.46032,1.48749,0.00139882,0.00139882,0.00139882
15,616.543,1.41548,1.39424,1.41346,0.58193,0.55049,0.60444,0.33347,1.40382,1.36795,1.44297,0.00137819,0.00137819,0.00137819
16,655.297,1.41908,1.3783,1.41272,0.59641,0.60961,0.63078,0.3342,1.48414,1.44164,1.50271,0.00135756,0.00135756,0.00135756
17,692.753,1.40077,1.37373,1.39394,0.64596,0.54142,0.59773,0.33984,1.45015,1.33846,1.47575,0.00133693,0.00133693,0.00133693
18,730.185,1.40495,1.37153,1.39462,0.62891,0.6554,0.66621,0.35612,1.48958,1.3178,1.47415,0.0013163,0.0013163,0.0013163
19,768.497,1.38405,1.30473,1.3818,0.64884,0.65625,0.66593,0.36471,1.3771,1.33434,1.4363,0.00129568,0.00129568,0.00129568
20,806.496,1.36422,1.30376,1.37659,0.67646,0.61184,0.65935,0.37277,1.39818,1.37461,1.44778,0.00127505,0.00127505,0.00127505
21,844.386,1.35502,1.29726,1.35948,0.73357,0.60134,0.69027,0.39319,1.38057,1.34163,1.42768,0.00125442,0.00125442,0.00125442
22,882.416,1.36774,1.2735,1.36936,0.64549,0.59145,0.63883,0.35446,1.40242,1.34938,1.43877,0.00123379,0.00123379,0.00123379
23,919.916,1.33343,1.27039,1.36723,0.70707,0.63228,0.6921,0.39227,1.38424,1.20391,1.4269,0.00121316,0.00121316,0.00121316
24,957.479,1.33069,1.21163,1.35087,0.66213,0.63766,0.67344,0.37184,1.42976,1.2912,1.46435,0.00119253,0.00119253,0.00119253
25,994.845,1.34269,1.25369,1.36799,0.70334,0.63268,0.67208,0.39152,1.37214,1.22905,1.40983,0.0011719,0.0011719,0.0011719
26,1032.43,1.34615,1.24638,1.36428,0.7155,0.67183,0.72169,0.41611,1.32113,1.19188,1.39595,0.00115127,0.00115127,0.00115127
27,1070.14,1.32448,1.2117,1.33987,0.67279,0.66101,0.68905,0.39772,1.32962,1.23598,1.3795,0.00113064,0.00113064,0.00113064
28,1107.77,1.29869,1.18568,1.33442,0.71497,0.67677,0.72193,0.40681,1.36727,1.219,1.40561,0.00111001,0.00111001,0.00111001
29,1145.27,1.29306,1.19055,1.32281,0.73445,0.68759,0.74816,0.4361,1.3109,1.13698,1.37751,0.00108938,0.00108938,0.00108938
30,1183.38,1.29517,1.17398,1.32193,0.7084,0.68197,0.71867,0.4023,1.36283,1.17469,1.4026,0.00106876,0.00106876,0.00106876
31,1220.81,1.30334,1.16239,1.33573,0.74184,0.67392,0.7332,0.41168,1.35134,1.21312,1.39166,0.00104813,0.00104813,0.00104813
32,1258.45,1.27492,1.1332,1.30757,0.67407,0.70415,0.70564,0.4058,1.3667,1.17639,1.38476,0.0010275,0.0010275,0.0010275
33,1296.47,1.24493,1.09577,1.2798,0.70707,0.72344,0.75019,0.43329,1.32448,1.10763,1.36936,0.00100687,0.00100687,0.00100687
34,1334.62,1.25296,1.10636,1.29825,0.69531,0.63776,0.6995,0.39594,1.34021,1.17924,1.39131,0.000986239,0.000986239,0.000986239
35,1372.17,1.2447,1.09819,1.2951,0.72798,0.67745,0.74287,0.43524,1.31369,1.09072,1.3689,0.00096561,0.00096561,0.00096561
36,1409.77,1.24911,1.09854,1.30509,0.69474,0.68481,0.74467,0.43326,1.31302,1.1028,1.37279,0.000944981,0.000944981,0.000944981
37,1447.22,1.24415,1.10235,1.29182,0.7074,0.65917,0.72675,0.43135,1.30323,1.12921,1.36221,0.000924352,0.000924352,0.000924352
38,1484.81,1.21695,1.08203,1.27508,0.65677,0.67305,0.71864,0.41459,1.35691,1.10223,1.36826,0.000903722,0.000903722,0.000903722
39,1522.45,1.21152,1.05842,1.26719,0.77926,0.68635,0.77301,0.44439,1.31107,1.06178,1.35938,0.000883093,0.000883093,0.000883093
40,1560.21,1.22641,1.06255,1.27575,0.67815,0.67982,0.71999,0.41928,1.31778,1.11123,1.36817,0.000862464,0.000862464,0.000862464
41,1597.78,1.19043,1.03866,1.25986,0.72175,0.68506,0.73257,0.42743,1.34977,1.07825,1.39935,0.000841835,0.000841835,0.000841835
42,1635.33,1.19018,1.01746,1.26197,0.79938,0.6572,0.76101,0.44321,1.32166,1.05011,1.38167,0.000821206,0.000821206,0.000821206
43,1673.01,1.18994,1.025,1.26647,0.78012,0.65969,0.74297,0.43194,1.29932,1.08454,1.35513,0.000800577,0.000800577,0.000800577
44,1710.47,1.18633,1.00933,1.25158,0.74907,0.67266,0.75605,0.45014,1.28373,1.03363,1.35025,0.000779948,0.000779948,0.000779948
45,1748.34,1.18828,1.01551,1.25758,0.77837,0.696,0.76436,0.45301,1.29615,1.01798,1.36221,0.000759318,0.000759318,0.000759318
46,1786.08,1.17613,0.96949,1.24635,0.79447,0.62237,0.73077,0.43733,1.29179,1.0316,1.3601,0.000738689,0.000738689,0.000738689
47,1823.55,1.17911,0.99106,1.24723,0.70091,0.72699,0.71369,0.42789,1.26258,1.05064,1.32941,0.00071806,0.00071806,0.00071806
48,1861.26,1.1639,0.9828,1.24616,0.79692,0.66751,0.76201,0.44819,1.33059,1.0468,1.38375,0.000697431,0.000697431,0.000697431
49,1898.95,1.16359,0.9905,1.24263,0.72124,0.72438,0.7587,0.44475,1.31908,0.99566,1.37661,0.000676802,0.000676802,0.000676802
50,1936.58,1.15253,0.98374,1.23364,0.76949,0.69856,0.7537,0.44437,1.28449,1.04145,1.34089,0.000656173,0.000656173,0.000656173
51,1974.08,1.16407,0.9652,1.24743,0.77987,0.68232,0.76637,0.45458,1.2843,1.00308,1.33248,0.000635544,0.000635544,0.000635544
52,2012.13,1.12698,0.95182,1.21809,0.77161,0.67639,0.75694,0.45244,1.27791,0.97645,1.35109,0.000614915,0.000614915,0.000614915
53,2049.82,1.11799,0.93544,1.21492,0.77421,0.6873,0.76103,0.45962,1.28481,0.9816,1.35236,0.000594286,0.000594286,0.000594286
54,2088.02,1.13419,0.94445,1.21956,0.80293,0.66313,0.75447,0.45674,1.28344,1.00019,1.34094,0.000573656,0.000573656,0.000573656
55,2125.67,1.12789,0.93567,1.22357,0.72406,0.71372,0.76619,0.46388,1.27307,0.97806,1.3404,0.000553027,0.000553027,0.000553027
56,2163.57,1.10964,0.90146,1.20943,0.80695,0.6539,0.75988,0.45004,1.2808,0.96352,1.33967,0.000532398,0.000532398,0.000532398
57,2201.31,1.11256,0.89789,1.20388,0.73669,0.73161,0.77633,0.45985,1.26961,0.94846,1.33994,0.000511769,0.000511769,0.000511769
58,2239.06,1.08077,0.8816,1.18668,0.78089,0.67391,0.76045,0.45577,1.25817,0.94786,1.32123,0.00049114,0.00049114,0.00049114
59,2276.72,1.0889,0.89541,1.20087,0.77256,0.70256,0.7576,0.45821,1.29341,0.97297,1.35358,0.000470511,0.000470511,0.000470511
60,2314.31,1.09867,0.90516,1.20319,0.79375,0.68852,0.75759,0.46893,1.25299,0.94269,1.34055,0.000449882,0.000449882,0.000449882
61,2352.33,1.07442,0.88616,1.19724,0.78204,0.64495,0.73695,0.45069,1.28539,0.97739,1.3651,0.000429253,0.000429253,0.000429253
62,2389.89,1.08467,0.87822,1.19054,0.81206,0.63889,0.77175,0.46464,1.25304,0.95395,1.32623,0.000408623,0.000408623,0.000408623
63,2427.48,1.06438,0.88263,1.1862,0.79172,0.66098,0.75454,0.45683,1.27527,0.94328,1.36157,0.000387994,0.000387994,0.000387994
64,2465.14,1.06418,0.86837,1.18488,0.76475,0.67639,0.76292,0.46657,1.26581,0.94862,1.33481,0.000367365,0.000367365,0.000367365
65,2502.84,1.05068,0.82293,1.17946,0.83052,0.67783,0.78037,0.47695,1.26472,0.95204,1.33614,0.000346736,0.000346736,0.000346736
66,2540.53,1.04807,0.83726,1.1787,0.79124,0.68267,0.77678,0.47602,1.27126,0.92353,1.34185,0.000326107,0.000326107,0.000326107
67,2578.13,1.02853,0.83324,1.16241,0.80951,0.68939,0.77111,0.46006,1.27283,0.96656,1.345,0.000305478,0.000305478,0.000305478
68,2615.5,1.03327,0.84235,1.17643,0.80929,0.66935,0.76814,0.46774,1.24963,0.94974,1.33329,0.000284849,0.000284849,0.000284849
69,2653.24,1.03516,0.8305,1.1757,0.80137,0.66933,0.75717,0.46631,1.26857,0.93657,1.35249,0.00026422,0.00026422,0.00026422
70,2690.99,1.01586,0.79637,1.15353,0.79252,0.69722,0.77767,0.47684,1.26542,0.93473,1.34118,0.00024359,0.00024359,0.00024359
