epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.921,1.73928,4.00003,1.75892,0.29402,0.31061,0.29997,0.13707,1.87707,2.31258,1.95684,0.000552035,0.000552035,0.000552035
2,85.0293,1.73993,2.0376,1.73902,0.52782,0.37993,0.38573,0.17846,1.7762,2.81082,1.88088,0.00109399,0.00109399,0.00109399
3,124.399,1.73673,1.98588,1.74229,0.38999,0.3437,0.32733,0.14012,2.08162,2.93925,2.07026,0.0016222,0.0016222,0.0016222
4,163.237,1.6857,1.82369,1.71573,0.85359,0.29545,0.3932,0.17993,1.80431,2.16722,1.8897,0.00160511,0.00160511,0.00160511
5,202.079,1.6505,1.73156,1.68782,0.51514,0.4859,0.47668,0.22239,1.88254,2.02831,1.91023,0.00158448,0.00158448,0.00158448
6,241.145,1.58918,1.61259,1.62864,0.48409,0.4569,0.48704,0.25306,1.64393,1.69252,1.65416,0.00156385,0.00156385,0.00156385
7,280.125,1.53305,1.54019,1.57409,0.55032,0.45724,0.51407,0.26121,1.6005,1.61549,1.6185,0.00154323,0.00154323,0.00154323
8,319.068,1.49193,1.4624,1.55379,0.66452,0.45225,0.52362,0.28427,1.53117,1.6227,1.5999,0.0015226,0.0015226,0.0015226
9,358.164,1.44991,1.41383,1.5338,0.50133,0.59893,0.58714,0.30008,1.56619,1.48605,1.60012,0.00150197,0.00150197,0.00150197
10,397.379,1.45445,1.36033,1.51676,0.59747,0.5621,0.57819,0.30739,1.4935,1.54394,1.56307,0.00148134,0.00148134,0.00148134
11,436.456,1.41787,1.34687,1.49287,0.57038,0.63846,0.6097,0.32904,1.47328,1.42973,1.52892,0.00146071,0.00146071,0.00146071
12,475.643,1.38068,1.28692,1.46669,0.48746,0.60969,0.59352,0.31902,1.51149,1.38736,1.60835,0.00144008,0.00144008,0.00144008
13,514.281,1.36539,1.25867,1.46584,0.72122,0.50766,0.60663,0.32884,1.45183,1.4614,1.53201,0.00141945,0.00141945,0.00141945
14,553.077,1.35869,1.2521,1.44237,0.62547,0.57956,0.63012,0.34202,1.47963,1.38469,1.54185,0.00139882,0.00139882,0.00139882
15,592.18,1.34899,1.23599,1.45115,0.65211,0.56923,0.64294,0.35569,1.42684,1.30753,1.51015,0.00137819,0.00137819,0.00137819
16,631.221,1.31624,1.20816,1.42534,0.66324,0.59186,0.66995,0.36827,1.43622,1.24112,1.53421,0.00135756,0.00135756,0.00135756
17,670.425,1.3018,1.15826,1.42697,0.56618,0.64543,0.62001,0.33956,1.50394,1.31719,1.56279,0.00133693,0.00133693,0.00133693
18,709.393,1.28644,1.15514,1.41099,0.76806,0.53843,0.64426,0.36724,1.39706,1.23426,1.48173,0.0013163,0.0013163,0.0013163
19,748.207,1.27669,1.12437,1.39992,0.60321,0.62729,0.66123,0.38002,1.39464,1.18563,1.48569,0.00129568,0.00129568,0.00129568
20,787.28,1.2615,1.10162,1.38563,0.65507,0.62196,0.685,0.38916,1.36878,1.19657,1.46044,0.00127505,0.00127505,0.00127505
21,826.266,1.25435,1.09612,1.38156,0.68044,0.67581,0.69393,0.40126,1.37732,1.17823,1.48048,0.00125442,0.00125442,0.00125442
22,865.393,1.23212,1.06742,1.36064,0.79429,0.60063,0.70148,0.39319,1.39649,1.22519,1.49188,0.00123379,0.00123379,0.00123379
23,904.287,1.22752,1.05386,1.35537,0.8364,0.59948,0.69767,0.39824,1.33264,1.23491,1.45578,0.00121316,0.00121316,0.00121316
24,943.371,1.20044,1.03838,1.33741,0.60097,0.71122,0.69503,0.39675,1.36336,1.16091,1.47352,0.00119253,0.00119253,0.00119253
25,982.07,1.19593,1.01902,1.34534,0.70914,0.65002,0.71182,0.41496,1.37534,1.13227,1.47957,0.0011719,0.0011719,0.0011719
26,1021.26,1.18446,1.01541,1.33154,0.69131,0.68645,0.74648,0.42671,1.3133,1.1204,1.44657,0.00115127,0.00115127,0.00115127
