epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.5311,1.74302,4.28867,1.64592,0.33321,0.35083,0.27175,0.12444,2.02462,3.89104,2.04177,0.000552742,0.000552742,0.000552742
2,110.939,1.78009,2.78413,1.7017,0.51629,0.44566,0.45323,0.215,1.85862,3.83831,1.90904,0.00109012,0.00109012,0.00109012
3,157.96,1.74444,2.67006,1.69474,0.27739,0.22106,0.1567,0.05856,2.60438,4.99156,2.44044,0.00160916,0.00160916,0.00160916
4,204.527,1.73801,2.64361,1.68402,0.50679,0.51599,0.48935,0.22555,1.91116,3.05319,1.90026,0.00158448,0.00158448,0.00158448
5,251.316,1.66803,2.46003,1.62934,0.48689,0.51054,0.45912,0.20185,1.87295,3.18236,1.89954,0.00155698,0.00155698,0.00155698
6,297.631,1.64906,2.34374,1.61499,0.6156,0.52238,0.5764,0.28954,1.66424,2.44999,1.76193,0.00152947,0.00152947,0.00152947
7,344.162,1.61667,2.32492,1.6051,0.73005,0.57757,0.655,0.33277,1.58093,2.16839,1.69715,0.00150197,0.00150197,0.00150197
8,390.869,1.59339,2.23802,1.57962,0.59795,0.612,0.60521,0.30034,1.68382,2.28206,1.71529,0.00147446,0.00147446,0.00147446
9,437.204,1.56041,2.18336,1.55955,0.71543,0.59242,0.67389,0.35649,1.56541,2.07103,1.68871,0.00144696,0.00144696,0.00144696
10,483.642,1.55816,2.1231,1.54702,0.66251,0.55659,0.62057,0.32801,1.57432,2.17158,1.65591,0.00141945,0.00141945,0.00141945
11,529.728,1.50423,1.99806,1.51061,0.70529,0.61365,0.666,0.37201,1.50643,2.12403,1.63149,0.00139195,0.00139195,0.00139195
12,576.34,1.50061,1.99825,1.50943,0.66979,0.64496,0.70684,0.39231,1.49156,1.91698,1.60514,0.00136444,0.00136444,0.00136444
13,622.748,1.49079,1.97658,1.49437,0.65041,0.67008,0.69215,0.38002,1.57648,1.88056,1.63452,0.00133693,0.00133693,0.00133693
14,669.917,1.48109,1.94637,1.48373,0.69406,0.68194,0.72194,0.39938,1.45808,1.84151,1.58365,0.00130943,0.00130943,0.00130943
15,722.817,1.45044,1.89144,1.47553,0.68463,0.64078,0.71182,0.39478,1.50112,1.94987,1.60094,0.00128192,0.00128192,0.00128192
16,772.836,1.44943,1.91027,1.46076,0.65104,0.63126,0.67479,0.37085,1.48503,1.87227,1.59894,0.00125442,0.00125442,0.00125442
17,820.555,1.43092,1.8209,1.44932,0.72438,0.61261,0.71391,0.38472,1.48796,1.85157,1.59327,0.00122691,0.00122691,0.00122691
18,867.255,1.40738,1.82325,1.44064,0.74264,0.65844,0.74512,0.419,1.37885,1.7903,1.54666,0.00119941,0.00119941,0.00119941
19,914.753,1.42095,1.82094,1.44913,0.70953,0.63947,0.70868,0.40975,1.41828,1.80251,1.54429,0.0011719,0.0011719,0.0011719
20,961.162,1.38834,1.74134,1.42535,0.72682,0.67917,0.74356,0.42303,1.43547,1.70571,1.56166,0.0011444,0.0011444,0.0011444
21,1008.12,1.37605,1.73197,1.41346,0.77288,0.66987,0.76547,0.42878,1.4063,1.6756,1.53237,0.00111689,0.00111689,0.00111689
22,1055.21,1.38422,1.70208,1.4124,0.706,0.68885,0.75954,0.44047,1.38897,1.68544,1.5157,0.00108938,0.00108938,0.00108938
23,1104.55,1.37869,1.68949,1.41663,0.7584,0.68229,0.77358,0.43521,1.42265,1.60447,1.52065,0.00106188,0.00106188,0.00106188
24,1157.12,1.35337,1.67152,1.40572,0.7786,0.618,0.73439,0.42348,1.42102,1.67719,1.53114,0.00103437,0.00103437,0.00103437
25,1205.92,1.34413,1.62287,1.39178,0.77874,0.66729,0.7563,0.44075,1.37952,1.69907,1.49116,0.00100687,0.00100687,0.00100687
26,1252.43,1.34659,1.6278,1.38821,0.73673,0.6993,0.77475,0.45565,1.36916,1.58984,1.47513,0.000979362,0.000979362,0.000979362
27,1299.03,1.32681,1.58983,1.3762,0.73284,0.68306,0.76795,0.45495,1.35072,1.62203,1.48417,0.000951857,0.000951857,0.000951857
28,1345.07,1.34062,1.60455,1.38183,0.73011,0.67377,0.76256,0.45064,1.36347,1.61269,1.49166,0.000924352,0.000924352,0.000924352
29,1391.27,1.3072,1.54691,1.35291,0.7364,0.68424,0.76999,0.45157,1.36574,1.52991,1.46835,0.000896846,0.000896846,0.000896846
30,1437.68,1.30274,1.53831,1.34669,0.73473,0.69597,0.78285,0.45677,1.40582,1.6166,1.50692,0.00086934,0.00086934,0.00086934
31,1484.33,1.30804,1.5357,1.35577,0.78098,0.65228,0.75856,0.4577,1.33059,1.5498,1.4429,0.000841835,0.000841835,0.000841835
32,1530.72,1.28719,1.51656,1.34427,0.71912,0.72041,0.77536,0.4644,1.32943,1.5206,1.44978,0.000814329,0.000814329,0.000814329
33,1577.18,1.26826,1.48761,1.33829,0.77387,0.69291,0.77726,0.46056,1.32374,1.54558,1.46773,0.000786824,0.000786824,0.000786824
34,1623.49,1.27265,1.47305,1.33276,0.76622,0.68396,0.78763,0.46744,1.33393,1.55923,1.46464,0.000759318,0.000759318,0.000759318
35,1669.97,1.26429,1.45245,1.33133,0.73476,0.70618,0.78065,0.46814,1.31306,1.47825,1.45098,0.000731813,0.000731813,0.000731813
36,1716.18,1.23933,1.43432,1.31205,0.7751,0.70312,0.79391,0.47985,1.31611,1.46628,1.44992,0.000704307,0.000704307,0.000704307
37,1762.65,1.22368,1.40004,1.30434,0.81174,0.70894,0.80156,0.48429,1.3206,1.40516,1.45866,0.000676802,0.000676802,0.000676802
38,1809.08,1.23045,1.38387,1.30357,0.80703,0.70629,0.81304,0.49104,1.32339,1.41881,1.44527,0.000649297,0.000649297,0.000649297
39,1855.82,1.21527,1.37914,1.30542,0.79405,0.71629,0.816,0.4824,1.31837,1.43841,1.44875,0.000621791,0.000621791,0.000621791
40,1901.68,1.21699,1.37968,1.3035,0.82212,0.73343,0.8134,0.4989,1.30859,1.40213,1.45429,0.000594286,0.000594286,0.000594286
41,1948.08,1.20964,1.34991,1.29543,0.8053,0.691,0.78503,0.47085,1.30962,1.44825,1.43684,0.00056678,0.00056678,0.00056678
42,1994.19,1.19499,1.32549,1.2818,0.78144,0.71655,0.79742,0.48322,1.30345,1.44367,1.43901,0.000539275,0.000539275,0.000539275
43,2040.13,1.19009,1.31373,1.27083,0.79037,0.73398,0.80321,0.49536,1.29865,1.38615,1.43077,0.000511769,0.000511769,0.000511769
44,2086.03,1.18859,1.3198,1.28133,0.82081,0.69018,0.80627,0.48744,1.31063,1.3823,1.43971,0.000484263,0.000484263,0.000484263
45,2132.23,1.1747,1.28959,1.27596,0.76,0.71338,0.79907,0.48762,1.29206,1.40565,1.43078,0.000456758,0.000456758,0.000456758
46,2178.48,1.1829,1.28085,1.27273,0.79607,0.68689,0.79905,0.49937,1.29277,1.38025,1.42374,0.000429253,0.000429253,0.000429253
47,2225.7,1.14607,1.23778,1.25406,0.7425,0.73668,0.79458,0.49401,1.29546,1.36437,1.42675,0.000401747,0.000401747,0.000401747
48,2271.62,1.15389,1.24001,1.25094,0.80805,0.72718,0.81707,0.4917,1.30397,1.3516,1.42123,0.000374242,0.000374242,0.000374242
49,2317.72,1.13636,1.22615,1.24197,0.76565,0.73305,0.80472,0.50084,1.28909,1.34341,1.42631,0.000346736,0.000346736,0.000346736
50,2364.22,1.1267,1.19972,1.2446,0.75346,0.75764,0.81392,0.50353,1.28202,1.3566,1.41381,0.000319231,0.000319231,0.000319231
51,2443,1.09125,1.13635,1.22782,0.76049,0.72135,0.80018,0.49262,1.31084,1.39285,1.43612,0.000291725,0.000291725,0.000291725
52,2489.1,1.07058,1.09988,1.22636,0.79256,0.69605,0.79638,0.49248,1.30061,1.34984,1.43289,0.00026422,0.00026422,0.00026422
53,2535.03,1.06012,1.07121,1.22038,0.72718,0.74685,0.79664,0.49464,1.30926,1.33432,1.45451,0.000236714,0.000236714,0.000236714
54,2580.68,1.05105,1.04081,1.21029,0.77173,0.74629,0.8168,0.51111,1.27871,1.30893,1.42174,0.000209209,0.000209209,0.000209209
55,2626.8,1.02578,1.02181,1.19164,0.76751,0.77211,0.82214,0.51559,1.27444,1.27455,1.42555,0.000181703,0.000181703,0.000181703
56,2673.09,1.01629,1.00974,1.1903,0.81184,0.7136,0.82238,0.51848,1.27695,1.28456,1.41542,0.000154198,0.000154198,0.000154198
57,2719.48,1.00895,0.98143,1.17576,0.79856,0.75234,0.82712,0.51844,1.27826,1.25892,1.4146,0.000126692,0.000126692,0.000126692
58,2765.74,0.99926,0.96657,1.16888,0.81434,0.72649,0.82474,0.52115,1.27724,1.28002,1.41515,9.91865e-05,9.91865e-05,9.91865e-05
59,2811.96,0.99686,0.96381,1.17188,0.80895,0.73588,0.82229,0.51937,1.27426,1.26249,1.41852,7.1681e-05,7.1681e-05,7.1681e-05
60,2857.91,0.98879,0.96633,1.17214,0.7828,0.7674,0.8254,0.52336,1.27116,1.26124,1.41489,4.41755e-05,4.41755e-05,4.41755e-05
