epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.81201,1.87943,3.23966,1.83054,0.00663,0.91894,0.33715,0.16646,1.69566,3.03129,1.61714,0.00043342,0.00043342,0.00043342
2,15.4322,1.64632,2.28105,1.59275,0.47244,0.18949,0.26989,0.11808,1.74493,2.80311,1.89892,0.000866017,0.000866017,0.000866017
3,20.9503,1.64068,2.10924,1.59397,0.45781,0.4528,0.39093,0.2057,1.75747,2.52177,1.8128,0.00128079,0.00128079,0.00128079
4,26.5102,1.64058,2.01411,1.57655,0.41141,0.43455,0.39702,0.17802,1.9189,2.29797,1.99873,0.00156798,0.00156798,0.00156798
5,31.5018,1.64483,1.91739,1.59673,0.39428,0.50191,0.44806,0.19974,1.85632,2.15096,1.87854,0.00153497,0.00153497,0.00153497
6,37.0369,1.60468,1.77433,1.53468,0.49352,0.51378,0.52901,0.3004,1.63896,1.87984,1.69257,0.00150197,0.00150197,0.00150197
7,42.5513,1.57075,1.74554,1.51716,0.70467,0.54049,0.63418,0.35143,1.65308,1.72538,1.723,0.00146896,0.00146896,0.00146896
8,47.8593,1.52005,1.64902,1.49584,0.74684,0.61993,0.68637,0.36533,1.70674,1.56055,1.71141,0.00143595,0.00143595,0.00143595
9,53.4493,1.55718,1.62321,1.52786,0.70907,0.66311,0.73981,0.41097,1.58334,1.38153,1.62303,0.00140295,0.00140295,0.00140295
10,58.5817,1.47388,1.5179,1.46497,0.80323,0.66791,0.77962,0.42794,1.5995,1.34757,1.61481,0.00136994,0.00136994,0.00136994
11,64.0759,1.51551,1.51891,1.47982,0.8116,0.68088,0.78172,0.45653,1.54779,1.28666,1.60956,0.00133693,0.00133693,0.00133693
12,69.4156,1.49439,1.47245,1.48191,0.83481,0.70699,0.81949,0.48723,1.51035,1.3394,1.57962,0.00130393,0.00130393,0.00130393
13,76.0917,1.44831,1.45566,1.44157,0.66573,0.6182,0.65981,0.39546,1.60432,1.49729,1.64035,0.00127092,0.00127092,0.00127092
14,81.72,1.4511,1.37423,1.42061,0.78872,0.67078,0.76437,0.43155,1.5501,1.37222,1.56104,0.00123791,0.00123791,0.00123791
15,86.2069,1.4262,1.36473,1.41173,0.78903,0.63391,0.73845,0.45112,1.5418,1.42387,1.58369,0.00120491,0.00120491,0.00120491
16,90.6469,1.43574,1.30282,1.41381,0.80599,0.76796,0.80736,0.47603,1.52429,1.21892,1.57571,0.0011719,0.0011719,0.0011719
17,95.0815,1.36669,1.27542,1.38897,0.77024,0.75713,0.80122,0.49244,1.40242,1.1431,1.50043,0.00113889,0.00113889,0.00113889
18,99.5621,1.37443,1.22596,1.36656,0.89186,0.69292,0.83386,0.49809,1.38362,1.13286,1.4542,0.00110589,0.00110589,0.00110589
19,104.046,1.37752,1.26331,1.36576,0.90235,0.74559,0.84235,0.52872,1.3894,1.06237,1.46531,0.00107288,0.00107288,0.00107288
20,108.632,1.34941,1.21363,1.37013,0.84286,0.64138,0.74348,0.4555,1.54212,1.31413,1.55163,0.00103987,0.00103987,0.00103987
21,114.006,1.3735,1.21401,1.38156,0.84535,0.7004,0.75693,0.45503,1.53859,1.31812,1.582,0.00100687,0.00100687,0.00100687
22,118.78,1.32966,1.18322,1.37252,0.88839,0.73635,0.81818,0.49236,1.46505,1.1389,1.52594,0.000973861,0.000973861,0.000973861
23,123.763,1.31586,1.12699,1.32856,0.87181,0.71379,0.79183,0.49221,1.48194,1.12071,1.50413,0.000940855,0.000940855,0.000940855
24,128.367,1.32206,1.10656,1.32843,0.91412,0.75318,0.83639,0.52343,1.41416,1.01546,1.49796,0.000907848,0.000907848,0.000907848
25,133.104,1.33023,1.10377,1.35536,0.90506,0.71418,0.8359,0.51121,1.49744,1.03517,1.5361,0.000874842,0.000874842,0.000874842
26,138.21,1.31857,1.08199,1.34934,0.86655,0.71283,0.82399,0.51412,1.45499,1.01211,1.4703,0.000841835,0.000841835,0.000841835
27,143.537,1.29585,1.0555,1.32149,0.86142,0.78909,0.86289,0.53078,1.41588,0.95658,1.47907,0.000808828,0.000808828,0.000808828
28,148.431,1.2475,1.03219,1.29311,0.84028,0.73151,0.83742,0.51061,1.44806,1.04743,1.49487,0.000775822,0.000775822,0.000775822
29,152.899,1.26743,1.00049,1.30375,0.90118,0.79621,0.87181,0.55107,1.38984,0.91871,1.45565,0.000742815,0.000742815,0.000742815
30,157.65,1.25018,1.01183,1.29303,0.86894,0.78028,0.85676,0.53844,1.40456,0.96281,1.47012,0.000709809,0.000709809,0.000709809
31,162.373,1.27777,1.03155,1.3028,0.8378,0.7694,0.84878,0.52309,1.40377,0.97429,1.48314,0.000676802,0.000676802,0.000676802
32,167.668,1.22515,0.96562,1.25893,0.89249,0.81114,0.87903,0.55002,1.40721,0.90604,1.48252,0.000643795,0.000643795,0.000643795
33,172.955,1.22882,0.96014,1.27448,0.85208,0.78184,0.87147,0.55194,1.45314,0.9418,1.51369,0.000610789,0.000610789,0.000610789
34,178.146,1.20425,0.92288,1.25611,0.90292,0.71649,0.85335,0.54706,1.42306,0.95628,1.48596,0.000577782,0.000577782,0.000577782
35,183.247,1.22197,0.9631,1.2881,0.87189,0.73273,0.8544,0.54507,1.37701,0.9508,1.46609,0.000544776,0.000544776,0.000544776
36,188.021,1.17227,0.90814,1.23884,0.86855,0.76971,0.87153,0.55426,1.40772,0.94768,1.47181,0.000511769,0.000511769,0.000511769
37,192.523,1.16883,0.88532,1.23561,0.90137,0.76918,0.88992,0.56441,1.3987,0.88804,1.46697,0.000478762,0.000478762,0.000478762
38,197.251,1.16305,0.89091,1.24247,0.90508,0.76849,0.87046,0.56266,1.41588,0.93328,1.4457,0.000445756,0.000445756,0.000445756
39,201.776,1.14297,0.86466,1.22589,0.91,0.78107,0.88346,0.57046,1.35955,0.88328,1.44916,0.000412749,0.000412749,0.000412749
40,206.429,1.14353,0.84978,1.21794,0.90307,0.75713,0.87049,0.56109,1.40916,0.90598,1.47762,0.000379743,0.000379743,0.000379743
41,275.235,1.14801,0.86687,1.20792,0.90065,0.78097,0.85957,0.5534,1.40332,0.9054,1.48495,0.000346736,0.000346736,0.000346736
42,280.84,1.14184,0.80294,1.21763,0.84337,0.81798,0.88346,0.55227,1.40453,0.85802,1.50104,0.000313729,0.000313729,0.000313729
43,285.415,1.09046,0.77066,1.20068,0.83865,0.7803,0.8682,0.54902,1.41334,0.85298,1.50779,0.000280723,0.000280723,0.000280723
44,290.28,1.06293,0.73662,1.16699,0.8717,0.78817,0.88359,0.56991,1.37466,0.83815,1.47619,0.000247716,0.000247716,0.000247716
45,294.912,1.05324,0.73253,1.16775,0.8966,0.76918,0.88461,0.57212,1.337,0.85866,1.43836,0.00021471,0.00021471,0.00021471
46,300.127,1.04817,0.71287,1.15696,0.92614,0.76989,0.87788,0.57406,1.31785,0.83922,1.43359,0.000181703,0.000181703,0.000181703
47,304.636,1.02157,0.71283,1.14375,0.90876,0.8088,0.88045,0.57946,1.33277,0.82496,1.43275,0.000148696,0.000148696,0.000148696
48,309.085,1.02588,0.68055,1.15245,0.92281,0.7752,0.88585,0.57667,1.35587,0.83297,1.44896,0.00011569,0.00011569,0.00011569
49,313.767,0.98391,0.67111,1.12807,0.89983,0.79277,0.87574,0.56824,1.35892,0.84463,1.45678,8.26832e-05,8.26832e-05,8.26832e-05
50,318.388,0.99008,0.67444,1.13502,0.90542,0.77737,0.87601,0.57151,1.34557,0.83396,1.45545,4.96766e-05,4.96766e-05,4.96766e-05
