epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.1324,1.68079,3.042,1.50047,0.68933,0.34069,0.25388,0.11166,1.53094,2.93679,1.30942,0.000545182,0.000545182,0.000545182
2,24.4511,1.59538,2.24216,1.43118,0.84698,0.30392,0.29613,0.1507,1.53091,2.24296,1.52919,0.00107905,0.00107905,0.00107905
3,35.3176,1.59878,1.97097,1.43415,0.78015,0.32598,0.30189,0.15878,1.5475,1.96599,1.57606,0.00159092,0.00159092,0.00159092
4,45.6955,1.58625,1.80977,1.43518,0.65886,0.39706,0.38039,0.2049,1.54379,1.94517,1.45041,0.00156798,0.00156798,0.00156798
5,56.3477,1.51461,1.66618,1.40356,0.3859,0.36878,0.38275,0.2062,1.5138,1.54919,1.46122,0.00153497,0.00153497,0.00153497
6,66.7646,1.47907,1.53385,1.39104,0.8918,0.32598,0.40325,0.22601,1.41917,1.42648,1.36152,0.00150197,0.00150197,0.00150197
7,77.1084,1.44879,1.43249,1.34762,0.90987,0.3678,0.47605,0.25088,1.40581,1.27995,1.32102,0.00146896,0.00146896,0.00146896
8,87.9153,1.45308,1.39109,1.35255,0.59002,0.44608,0.49432,0.29646,1.28282,1.24851,1.29773,0.00143595,0.00143595,0.00143595
9,98.0883,1.40317,1.30414,1.34097,0.68151,0.41681,0.48825,0.27888,1.39966,1.3852,1.43383,0.00140295,0.00140295,0.00140295
10,108.391,1.36907,1.25112,1.31835,0.82791,0.46774,0.59247,0.35021,1.30178,1.17939,1.30556,0.00136994,0.00136994,0.00136994
11,118.627,1.36741,1.26926,1.31588,0.72286,0.43015,0.55375,0.32275,1.3011,1.28077,1.29602,0.00133693,0.00133693,0.00133693
12,128.761,1.31148,1.15556,1.28596,0.55943,0.63113,0.60479,0.34475,1.25254,1.07908,1.25401,0.00130393,0.00130393,0.00130393
13,138.968,1.32746,1.14063,1.28948,0.69345,0.58668,0.60097,0.34075,1.32443,1.19427,1.28811,0.00127092,0.00127092,0.00127092
14,149.124,1.3304,1.15565,1.27966,0.66333,0.62456,0.5972,0.34909,1.21898,1.01482,1.25858,0.00123791,0.00123791,0.00123791
15,159.112,1.31248,1.13115,1.27522,0.68412,0.55515,0.57908,0.33865,1.21233,1.24042,1.25985,0.00120491,0.00120491,0.00120491
