epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.6921,1.68079,3.042,1.50047,0.68933,0.34069,0.25388,0.11166,1.53094,2.93679,1.30942,0.000545182,0.000545182,0.000545182
2,23.0782,1.60567,2.25688,1.4525,0.84747,0.29593,0.30304,0.16873,1.49582,2.04361,1.47004,0.00108995,0.00108995,0.00108995
3,32.7455,1.57301,1.93891,1.44156,0.84203,0.32372,0.39733,0.2022,1.65052,1.9574,1.76111,0.00162372,0.00162372,0.00162372
4,42.2026,1.58472,1.82718,1.44312,0.85361,0.31373,0.37039,0.19731,1.449,1.96197,1.41501,0.00161749,0.00161749,0.00161749
5,51.5888,1.54051,1.70166,1.42017,0.38941,0.39706,0.4052,0.23976,1.41135,1.87799,1.40708,0.00160099,0.00160099,0.00160099
6,60.8882,1.50184,1.55412,1.39895,0.86877,0.32108,0.3863,0.21101,1.57468,1.77494,1.44601,0.00158448,0.00158448,0.00158448
7,70.4028,1.46672,1.43405,1.35354,0.52668,0.48284,0.49142,0.29164,1.33749,1.19603,1.32182,0.00156798,0.00156798,0.00156798
8,79.7858,1.45753,1.39308,1.35774,0.53185,0.56985,0.55717,0.29561,1.34547,1.18105,1.33393,0.00155148,0.00155148,0.00155148
9,89.2404,1.4004,1.32657,1.33358,0.83534,0.41607,0.49526,0.29214,1.34922,1.43693,1.36732,0.00153497,0.00153497,0.00153497
10,98.6766,1.37056,1.26825,1.32417,0.52351,0.43015,0.45655,0.26752,1.35359,1.19887,1.31773,0.00151847,0.00151847,0.00151847
11,107.982,1.40819,1.32934,1.34609,0.63231,0.48407,0.51407,0.28099,1.36296,1.22649,1.30116,0.00150197,0.00150197,0.00150197
12,117.394,1.3483,1.20518,1.31314,0.86396,0.46936,0.53131,0.31673,1.37388,1.12052,1.33949,0.00148546,0.00148546,0.00148546
13,126.667,1.35238,1.18327,1.30888,0.68063,0.52595,0.57894,0.33092,1.37867,1.1654,1.32537,0.00146896,0.00146896,0.00146896
14,136.002,1.36239,1.18964,1.30396,0.40711,0.56151,0.48508,0.29944,1.23319,1.08395,1.27673,0.00145246,0.00145246,0.00145246
15,145.301,1.33751,1.14945,1.2893,0.63701,0.56756,0.61015,0.31987,1.33404,1.22023,1.34339,0.00143595,0.00143595,0.00143595
16,155.334,1.30446,1.13172,1.29014,0.57177,0.53825,0.57513,0.32269,1.3449,1.16582,1.30367,0.00141945,0.00141945,0.00141945
17,164.873,1.30312,1.09885,1.26157,0.73481,0.60417,0.61755,0.36348,1.30491,1.03577,1.28689,0.00140295,0.00140295,0.00140295
18,174.213,1.28443,1.07404,1.27519,0.8705,0.47426,0.59381,0.35345,1.24919,1.07832,1.27631,0.00138644,0.00138644,0.00138644
19,183.635,1.23701,1.04231,1.23289,0.74684,0.48197,0.56135,0.36448,1.23174,1.06391,1.26223,0.00136994,0.00136994,0.00136994
20,192.969,1.24802,1.02283,1.2477,0.66236,0.56116,0.56055,0.33018,1.24693,1.05606,1.25783,0.00135344,0.00135344,0.00135344
21,202.361,1.26835,1.02488,1.26696,0.76905,0.54044,0.63957,0.37662,1.24268,0.97131,1.28487,0.00133693,0.00133693,0.00133693
22,211.753,1.22509,1.00984,1.23519,0.76248,0.61713,0.668,0.3849,1.21063,1.0141,1.27073,0.00132043,0.00132043,0.00132043
23,221.094,1.21545,0.98219,1.22981,0.87425,0.64249,0.71166,0.42171,1.19976,0.91991,1.22846,0.00130393,0.00130393,0.00130393
24,230.731,1.22774,0.99047,1.23788,0.78651,0.57475,0.66704,0.4079,1.16663,0.94207,1.25593,0.00128742,0.00128742,0.00128742
25,240.177,1.23022,0.98207,1.24028,0.80709,0.63388,0.68373,0.38791,1.30369,1.06262,1.32445,0.00127092,0.00127092,0.00127092
26,249.344,1.21107,0.96295,1.219,0.68364,0.6178,0.65692,0.4143,1.19927,0.96936,1.24154,0.00125442,0.00125442,0.00125442
27,258.735,1.24383,0.98772,1.24173,0.79641,0.51337,0.57428,0.36627,1.2163,1.03827,1.28663,0.00123791,0.00123791,0.00123791
28,267.964,1.21353,0.97829,1.23631,0.84864,0.62868,0.69566,0.39121,1.23119,0.90808,1.27447,0.00122141,0.00122141,0.00122141
29,277.403,1.17485,0.93715,1.1999,0.76534,0.57518,0.68663,0.42116,1.16161,0.93027,1.23459,0.00120491,0.00120491,0.00120491
30,286.783,1.20081,0.93358,1.21454,0.70809,0.6036,0.61606,0.36758,1.21769,0.91895,1.26731,0.0011884,0.0011884,0.0011884
31,296.19,1.15246,0.88457,1.18918,0.89124,0.52328,0.65755,0.40396,1.18637,0.90709,1.23666,0.0011719,0.0011719,0.0011719
32,305.588,1.20089,0.90976,1.2124,0.65425,0.53064,0.59436,0.35535,1.2188,0.9452,1.275,0.0011554,0.0011554,0.0011554
33,314.846,1.16185,0.88759,1.19466,0.78587,0.64706,0.69302,0.40123,1.16164,0.90472,1.21771,0.00113889,0.00113889,0.00113889
