epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.2866,1.72073,3.16101,1.60298,0.00131,0.15931,0.02066,0.00829,2.11037,4.25503,2.00299,0.074208,0.000208,0.000208
2,23.4464,1.56847,1.81416,1.46017,0.25828,0.19118,0.23126,0.12022,1.57032,4.25302,1.4653,0.0474198,0.000419802,0.000419802
3,31.6435,1.4793,1.59678,1.39787,0.47601,0.32295,0.29253,0.1378,1.60728,2.3021,1.49889,0.0206273,0.000627328,0.000627328
4,39.7023,1.46985,1.43632,1.37749,0.82849,0.32108,0.37812,0.23379,1.35441,1.67384,1.35086,0.00077624,0.00077624,0.00077624
5,47.8178,1.48666,1.43581,1.38759,0.76765,0.35784,0.37515,0.22916,1.40929,1.73394,1.38545,0.00076832,0.00076832,0.00076832
6,55.81,1.41234,1.36688,1.3515,0.60513,0.45057,0.44214,0.26181,1.43057,1.36841,1.4452,0.0007604,0.0007604,0.0007604
7,63.7595,1.36492,1.2863,1.34405,0.74206,0.44405,0.52664,0.2904,1.38848,1.24966,1.38467,0.00075248,0.00075248,0.00075248
8,71.897,1.3669,1.26132,1.33392,0.87172,0.39461,0.46068,0.26375,1.28976,1.53813,1.30932,0.00074456,0.00074456,0.00074456
9,79.9799,1.34676,1.18777,1.30256,0.68899,0.54238,0.533,0.30951,1.29029,1.16723,1.23846,0.00073664,0.00073664,0.00073664
10,88.1689,1.3203,1.1554,1.29244,0.69218,0.55573,0.561,0.33295,1.29337,1.22338,1.31826,0.00072872,0.00072872,0.00072872
11,96.1229,1.30927,1.10792,1.29511,0.70374,0.51284,0.60319,0.37405,1.24073,1.07716,1.27636,0.0007208,0.0007208,0.0007208
12,104.165,1.2592,1.10248,1.25352,0.63043,0.58946,0.61163,0.38125,1.26495,1.08213,1.23586,0.00071288,0.00071288,0.00071288
13,112.291,1.24776,1.06234,1.22389,0.54558,0.63358,0.60349,0.36004,1.25965,1.07332,1.24479,0.00070496,0.00070496,0.00070496
14,120.372,1.2356,1.05391,1.25404,0.5846,0.61887,0.63768,0.39095,1.17177,1.01581,1.24934,0.00069704,0.00069704,0.00069704
15,128.333,1.2381,1.01195,1.23014,0.72292,0.57721,0.60457,0.36408,1.21714,0.93025,1.26504,0.00068912,0.00068912,0.00068912
16,136.392,1.23066,1.0076,1.21905,0.73436,0.58456,0.67331,0.40832,1.20857,0.93057,1.20764,0.0006812,0.0006812,0.0006812
17,144.655,1.23224,1.00734,1.21617,0.83477,0.5723,0.6465,0.39635,1.14797,0.94958,1.19206,0.00067328,0.00067328,0.00067328
18,152.734,1.2427,0.98487,1.22643,0.50767,0.61397,0.58452,0.35952,1.15904,0.97766,1.19724,0.00066536,0.00066536,0.00066536
19,160.702,1.1964,0.95955,1.20088,0.73301,0.61013,0.65578,0.39512,1.14298,0.93926,1.16471,0.00065744,0.00065744,0.00065744
20,168.734,1.19891,0.95177,1.19733,0.6344,0.53922,0.55445,0.35903,1.2178,1.01513,1.20894,0.00064952,0.00064952,0.00064952
21,176.85,1.18385,0.9452,1.19766,0.79779,0.5049,0.59979,0.36455,1.19842,0.97992,1.19912,0.0006416,0.0006416,0.0006416
22,184.944,1.18617,0.935,1.196,0.47175,0.6299,0.50918,0.30331,1.22743,0.96253,1.23827,0.00063368,0.00063368,0.00063368
23,192.945,1.14701,0.93171,1.1902,0.894,0.64574,0.68636,0.4232,1.17526,0.87936,1.20804,0.00062576,0.00062576,0.00062576
24,201.276,1.16479,0.94584,1.20326,0.71402,0.62809,0.63448,0.3789,1.18517,0.95834,1.19514,0.00061784,0.00061784,0.00061784
25,209.32,1.16378,0.91378,1.18301,0.88254,0.63772,0.7339,0.43512,1.19156,0.92756,1.21404,0.00060992,0.00060992,0.00060992
26,217.346,1.13514,0.9046,1.17484,0.59839,0.59547,0.62448,0.39999,1.17667,0.8562,1.1976,0.000602,0.000602,0.000602
27,225.352,1.13245,0.90377,1.18078,0.713,0.68,0.67842,0.40753,1.21241,0.89682,1.22038,0.00059408,0.00059408,0.00059408
28,233.431,1.16819,0.96501,1.1938,0.87717,0.60662,0.69245,0.42413,1.19532,0.89315,1.22073,0.00058616,0.00058616,0.00058616
29,241.549,1.1297,0.87348,1.17184,0.70009,0.6201,0.66399,0.41516,1.14845,0.87695,1.19501,0.00057824,0.00057824,0.00057824
30,249.574,1.09734,0.86268,1.14749,0.57673,0.65777,0.6519,0.39458,1.18326,0.85093,1.20531,0.00057032,0.00057032,0.00057032
31,257.58,1.09287,0.83621,1.14369,0.60682,0.55539,0.56484,0.34067,1.2509,0.99362,1.26797,0.0005624,0.0005624,0.0005624
32,265.786,1.09759,0.834,1.14915,0.74672,0.59018,0.63895,0.3741,1.17061,0.9323,1.21271,0.00055448,0.00055448,0.00055448
33,273.823,1.10197,0.8359,1.16317,0.54257,0.66918,0.6694,0.40389,1.19376,0.90501,1.24126,0.00054656,0.00054656,0.00054656
34,281.849,1.09631,0.83352,1.15756,0.68722,0.67892,0.67875,0.37618,1.17796,0.86381,1.20685,0.00053864,0.00053864,0.00053864
35,289.791,1.07518,0.81825,1.13282,0.75748,0.61765,0.68262,0.4173,1.13775,0.83106,1.19243,0.00053072,0.00053072,0.00053072
