epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.3701,1.60822,2.88208,1.48883,0.9749,0.08333,0.22643,0.12447,1.37192,2.85112,1.31916,0.000545182,0.000545182,0.000545182
2,32.1363,1.52063,2.10733,1.38752,0.77715,0.28959,0.35012,0.171,1.53111,1.92114,1.43668,0.00107905,0.00107905,0.00107905
3,41.0412,1.57615,1.90995,1.43254,0.44524,0.33456,0.36209,0.19512,1.48823,2.10992,1.48499,0.00159092,0.00159092,0.00159092
4,49.9903,1.5225,1.74889,1.41186,0.82938,0.32598,0.38024,0.20127,1.50296,1.61995,1.44991,0.00156798,0.00156798,0.00156798
5,58.8104,1.49907,1.59917,1.36795,0.56234,0.40931,0.37384,0.21338,1.46664,1.73458,1.40564,0.00153497,0.00153497,0.00153497
6,67.4969,1.45911,1.46492,1.36476,0.40333,0.5098,0.45796,0.26207,1.38772,2.31008,1.36505,0.00150197,0.00150197,0.00150197
7,76.2291,1.41916,1.34527,1.34355,0.79507,0.47794,0.53772,0.32621,1.27177,1.23037,1.33974,0.00146896,0.00146896,0.00146896
8,84.9495,1.38546,1.28844,1.32415,0.65,0.58456,0.55203,0.31787,1.30127,1.20865,1.2896,0.00143595,0.00143595,0.00143595
9,93.8794,1.3545,1.21784,1.28992,0.68139,0.47115,0.55836,0.32086,1.28044,1.14058,1.30187,0.00140295,0.00140295,0.00140295
10,102.502,1.33274,1.17768,1.29263,0.60268,0.63848,0.63016,0.37394,1.25202,1.0268,1.23305,0.00136994,0.00136994,0.00136994
11,111.182,1.32914,1.16964,1.2784,0.50248,0.58946,0.52204,0.29314,1.31176,1.15314,1.3018,0.00133693,0.00133693,0.00133693
12,119.97,1.28068,1.1134,1.25891,0.65048,0.43427,0.48881,0.29882,1.33818,1.21141,1.33379,0.00130393,0.00130393,0.00130393
13,128.685,1.28038,1.07749,1.26767,0.58151,0.61887,0.57469,0.31752,1.30921,1.06922,1.31564,0.00127092,0.00127092,0.00127092
14,137.306,1.29293,1.09568,1.25984,0.75753,0.6291,0.68789,0.41304,1.17746,0.94973,1.22337,0.00123791,0.00123791,0.00123791
15,146.024,1.28834,1.07442,1.26032,0.68824,0.52046,0.56009,0.31828,1.2884,1.1498,1.3161,0.00120491,0.00120491,0.00120491
16,155.362,1.25893,1.04553,1.2364,0.70465,0.67892,0.69676,0.39184,1.23617,0.97045,1.24557,0.0011719,0.0011719,0.0011719
17,167.782,1.23638,0.99694,1.21976,0.60826,0.62062,0.62422,0.37528,1.20835,0.93913,1.23812,0.00113889,0.00113889,0.00113889
18,178.128,1.25454,1.00322,1.2439,0.63424,0.58946,0.61899,0.34621,1.29688,1.04337,1.33005,0.00110589,0.00110589,0.00110589
19,187.422,1.17671,0.95439,1.19389,0.70474,0.47732,0.53384,0.3437,1.14445,1.00814,1.21221,0.00107288,0.00107288,0.00107288
20,196.367,1.19512,0.94856,1.20622,0.76759,0.6152,0.67948,0.4163,1.18222,0.87149,1.24924,0.00103987,0.00103987,0.00103987
21,205.347,1.16942,0.93415,1.20124,0.51706,0.65074,0.62948,0.41039,1.12549,0.85442,1.20037,0.00100687,0.00100687,0.00100687
22,214.467,1.1352,0.8947,1.17275,0.78439,0.65482,0.7209,0.42874,1.15599,0.85092,1.19378,0.000973861,0.000973861,0.000973861
23,223.218,1.12482,0.87298,1.17459,0.64818,0.71201,0.66756,0.38375,1.2661,0.8305,1.29412,0.000940855,0.000940855,0.000940855
