epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.869,1.76111,6.84918,1.72668,0.8741,0.27514,0.31443,0.15434,2.00051,5.03858,2.0343,0.000546249,0.000546249,0.000546249
2,36.7532,1.71887,2.98715,1.75381,0.475,0.1814,0.18705,0.07958,2.16121,5.37374,2.77554,0.00108373,0.00108373,0.00108373
3,51.9475,1.77074,2.78769,1.82603,0.39995,0.3659,0.34138,0.15472,1.92352,7.16751,2.19148,0.00160288,0.00160288,0.00160288
4,66.8703,1.71699,2.66281,1.76217,0.39308,0.45474,0.3781,0.18052,1.84794,3.545,2.04616,0.00158448,0.00158448,0.00158448
5,81.7843,1.65832,2.50541,1.72943,0.48671,0.3796,0.35961,0.19305,1.74422,3.79565,1.94169,0.00155698,0.00155698,0.00155698
6,96.8473,1.63488,2.3774,1.67717,0.55435,0.49257,0.51812,0.2685,1.6133,2.46342,1.80256,0.00152947,0.00152947,0.00152947
7,111.815,1.60017,2.25631,1.66782,0.63384,0.48858,0.52202,0.27898,1.55841,2.48187,1.74694,0.00150197,0.00150197,0.00150197
8,126.711,1.52165,2.16201,1.60345,0.45749,0.66534,0.60861,0.30294,1.59467,2.30518,1.78627,0.00147446,0.00147446,0.00147446
9,141.586,1.52894,2.10754,1.61701,0.45602,0.56439,0.54885,0.28038,1.66428,2.62871,1.81781,0.00144696,0.00144696,0.00144696
10,156.438,1.51955,2.06288,1.59838,0.64153,0.53818,0.59693,0.30362,1.54749,2.20385,1.72023,0.00141945,0.00141945,0.00141945
11,171.494,1.43414,1.93589,1.54633,0.63741,0.57576,0.58671,0.31057,1.51835,2.03674,1.67654,0.00139195,0.00139195,0.00139195
12,186.661,1.40687,1.91073,1.52657,0.64134,0.56187,0.56686,0.29997,1.61216,2.1962,1.73774,0.00136444,0.00136444,0.00136444
13,201.161,1.401,1.87283,1.50436,0.70338,0.61412,0.6353,0.33697,1.5,1.81848,1.70417,0.00133693,0.00133693,0.00133693
14,216.142,1.37023,1.8158,1.50313,0.70685,0.66667,0.70536,0.36642,1.45996,1.71647,1.67753,0.00130943,0.00130943,0.00130943
15,231.041,1.36814,1.77156,1.48905,0.73063,0.61616,0.66547,0.35641,1.46606,1.7801,1.67311,0.00128192,0.00128192,0.00128192
16,245.752,1.38416,1.76465,1.48542,0.5121,0.68098,0.57937,0.32617,1.5028,1.83085,1.67582,0.00125442,0.00125442,0.00125442
17,260.361,1.34005,1.68926,1.47456,0.61789,0.51104,0.54387,0.30655,1.5756,2.08157,1.77202,0.00122691,0.00122691,0.00122691
18,275.249,1.34242,1.68325,1.48188,0.6355,0.60774,0.66895,0.35032,1.51255,1.84884,1.68637,0.00119941,0.00119941,0.00119941
19,290.002,1.29632,1.6265,1.44726,0.72009,0.65812,0.69142,0.36733,1.45153,1.78692,1.65636,0.0011719,0.0011719,0.0011719
20,305.066,1.2855,1.58381,1.43957,0.70207,0.62573,0.69496,0.37916,1.39109,1.75727,1.61262,0.0011444,0.0011444,0.0011444
21,320.043,1.29889,1.58811,1.45071,0.78503,0.64141,0.72847,0.40111,1.39365,1.6774,1.64524,0.00111689,0.00111689,0.00111689
22,335.021,1.27134,1.53874,1.41614,0.74259,0.60964,0.68451,0.38052,1.42237,1.62053,1.60456,0.00108938,0.00108938,0.00108938
23,349.798,1.23004,1.51272,1.38961,0.62089,0.54356,0.57665,0.34001,1.38707,2.28902,1.59493,0.00106188,0.00106188,0.00106188
24,364.451,1.21275,1.47684,1.38179,0.73858,0.60753,0.67941,0.36444,1.42123,1.7016,1.65158,0.00103437,0.00103437,0.00103437
25,379.186,1.24623,1.51782,1.41033,0.81624,0.65817,0.72524,0.39469,1.34866,1.5617,1.60318,0.00100687,0.00100687,0.00100687
26,393.904,1.18623,1.41693,1.35169,0.67655,0.68056,0.71417,0.37995,1.3641,1.58884,1.55911,0.000979362,0.000979362,0.000979362
27,408.493,1.17896,1.36878,1.35261,0.75683,0.67361,0.72874,0.42274,1.35252,1.47283,1.57338,0.000951857,0.000951857,0.000951857
28,423.382,1.19402,1.42689,1.37542,0.75208,0.68266,0.7426,0.43426,1.27824,1.52093,1.51437,0.000924352,0.000924352,0.000924352
29,438.19,1.1599,1.38049,1.3491,0.62277,0.72159,0.6955,0.39474,1.35234,1.62317,1.5627,0.000896846,0.000896846,0.000896846
30,452.843,1.14486,1.29403,1.34317,0.83998,0.70432,0.76504,0.42667,1.33691,1.46481,1.56402,0.00086934,0.00086934,0.00086934
31,467.451,1.13108,1.31442,1.32274,0.79343,0.64162,0.74811,0.45011,1.30942,1.55022,1.53464,0.000841835,0.000841835,0.000841835
32,482.504,1.12425,1.27328,1.32562,0.7324,0.67146,0.70995,0.41724,1.28721,1.48932,1.50873,0.000814329,0.000814329,0.000814329
33,497.237,1.12174,1.28212,1.32204,0.72788,0.68476,0.73561,0.43094,1.32413,1.5901,1.55569,0.000786824,0.000786824,0.000786824
34,511.849,1.12343,1.26419,1.30308,0.72054,0.61493,0.68876,0.41698,1.31308,1.51084,1.54182,0.000759318,0.000759318,0.000759318
35,526.53,1.0784,1.20227,1.29787,0.76818,0.75032,0.79839,0.47843,1.26555,1.40135,1.53099,0.000731813,0.000731813,0.000731813
36,541.346,1.07753,1.23519,1.2842,0.71288,0.69402,0.73709,0.42706,1.30634,1.43578,1.52896,0.000704307,0.000704307,0.000704307
37,556.064,1.06452,1.20283,1.28072,0.68588,0.71246,0.73183,0.44154,1.30629,1.45746,1.556,0.000676802,0.000676802,0.000676802
38,570.767,1.07294,1.17825,1.28596,0.81351,0.68267,0.74834,0.45937,1.28603,1.41846,1.53479,0.000649297,0.000649297,0.000649297
39,585.438,1.05061,1.16604,1.27654,0.77305,0.67174,0.73587,0.46068,1.26139,1.43049,1.5168,0.000621791,0.000621791,0.000621791
40,600.208,1.01986,1.12656,1.26172,0.87511,0.6847,0.77632,0.45292,1.32215,1.34748,1.56232,0.000594286,0.000594286,0.000594286
41,614.903,1.03966,1.1378,1.26478,0.79441,0.72719,0.75943,0.44618,1.29895,1.38713,1.55203,0.00056678,0.00056678,0.00056678
42,629.617,1.014,1.09779,1.23672,0.73911,0.70453,0.75205,0.46683,1.24417,1.40119,1.50147,0.000539275,0.000539275,0.000539275
