epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.6665,1.72223,3.06761,1.57174,0.14515,0.51747,0.27118,0.12753,1.55147,2.93904,1.48872,0.000546249,0.000546249,0.000546249
2,24.9475,1.63132,2.2154,1.47732,0.31908,0.34259,0.35155,0.18556,1.95634,2.28136,1.80266,0.00108373,0.00108373,0.00108373
3,37.0613,1.646,2.01253,1.49015,0.37337,0.23822,0.27806,0.13806,1.96906,2.24979,1.74405,0.00160288,0.00160288,0.00160288
4,47.4322,1.60687,1.84498,1.48108,0.41405,0.38552,0.37073,0.19577,1.72476,2.07386,1.58651,0.00158448,0.00158448,0.00158448
5,57.8561,1.60103,1.67508,1.46482,0.64803,0.48169,0.54304,0.28377,1.54636,1.52147,1.50111,0.00155698,0.00155698,0.00155698
6,68.3647,1.54724,1.60809,1.41975,0.4176,0.43224,0.39006,0.19959,1.67931,2.37032,1.58561,0.00152947,0.00152947,0.00152947
7,78.8301,1.47222,1.46966,1.39537,0.50239,0.50209,0.47508,0.26779,1.48437,1.70552,1.43996,0.00150197,0.00150197,0.00150197
8,89.2328,1.49597,1.44449,1.42189,0.61946,0.62774,0.59909,0.29389,1.54478,1.35253,1.42002,0.00147446,0.00147446,0.00147446
9,99.7248,1.48639,1.37332,1.39236,0.58519,0.5773,0.56019,0.32189,1.48975,1.26765,1.40811,0.00144696,0.00144696,0.00144696
10,110.023,1.4366,1.33296,1.36753,0.8244,0.50042,0.59947,0.31525,1.49362,1.29745,1.41392,0.00141945,0.00141945,0.00141945
11,120.598,1.42605,1.27779,1.36031,0.54961,0.46359,0.46215,0.26669,1.51818,1.47964,1.40142,0.00139195,0.00139195,0.00139195
12,130.838,1.42339,1.24505,1.36773,0.72513,0.52715,0.61169,0.33831,1.39862,1.23793,1.34739,0.00136444,0.00136444,0.00136444
13,141.032,1.41534,1.2174,1.35137,0.66681,0.54453,0.60652,0.3265,1.48563,1.39264,1.42672,0.00133693,0.00133693,0.00133693
14,151.548,1.39344,1.21765,1.33381,0.64494,0.59638,0.63136,0.34222,1.48139,1.15937,1.42725,0.00130943,0.00130943,0.00130943
15,161.824,1.37897,1.15929,1.32073,0.64227,0.64169,0.67026,0.36735,1.43305,1.10416,1.38873,0.00128192,0.00128192,0.00128192
16,172.277,1.33697,1.13007,1.30182,0.78048,0.58342,0.69781,0.39053,1.38727,1.03805,1.32649,0.00125442,0.00125442,0.00125442
17,182.676,1.36167,1.1404,1.31718,0.75755,0.62733,0.70526,0.39916,1.38203,1.06242,1.38053,0.00122691,0.00122691,0.00122691
18,192.916,1.30408,1.09536,1.28046,0.65478,0.58502,0.60729,0.35243,1.42373,1.2201,1.3612,0.00119941,0.00119941,0.00119941
19,203.266,1.25684,1.05278,1.26603,0.71591,0.61911,0.67172,0.39858,1.35225,1.03815,1.33204,0.0011719,0.0011719,0.0011719
20,213.784,1.31784,1.09178,1.29103,0.77338,0.63866,0.71073,0.42629,1.29258,1.02742,1.31055,0.0011444,0.0011444,0.0011444
21,224.026,1.25922,1.03836,1.28103,0.80314,0.55504,0.69321,0.40335,1.38085,1.05894,1.35782,0.00111689,0.00111689,0.00111689
22,234.474,1.27582,1.03739,1.26628,0.76208,0.57722,0.64011,0.38081,1.35749,1.07094,1.33487,0.00108938,0.00108938,0.00108938
23,244.906,1.27456,1.04455,1.26495,0.75697,0.66877,0.74851,0.42526,1.35301,0.97264,1.29118,0.00106188,0.00106188,0.00106188
24,255.217,1.23481,1.01747,1.2542,0.79912,0.65257,0.74651,0.40954,1.33589,1.03983,1.31416,0.00103437,0.00103437,0.00103437
25,265.522,1.28994,1.01941,1.27663,0.81371,0.6724,0.75876,0.43913,1.30667,0.95538,1.31578,0.00100687,0.00100687,0.00100687
26,276.518,1.21733,0.96776,1.24038,0.76674,0.64604,0.71862,0.41933,1.33797,0.9874,1.32056,0.000979362,0.000979362,0.000979362
27,287.376,1.24026,0.99076,1.24319,0.80622,0.6915,0.75657,0.45546,1.25255,0.92802,1.26061,0.000951857,0.000951857,0.000951857
28,298.499,1.22139,0.96463,1.25038,0.65993,0.73063,0.73722,0.44296,1.2892,1.0077,1.30315,0.000924352,0.000924352,0.000924352
29,309.849,1.19833,0.97716,1.24015,0.84964,0.69201,0.78134,0.4776,1.27159,0.90604,1.29207,0.000896846,0.000896846,0.000896846
30,321.235,1.18836,0.93499,1.21404,0.67507,0.6863,0.70262,0.39842,1.39169,0.98344,1.37803,0.00086934,0.00086934,0.00086934
31,332.182,1.18799,0.93113,1.23489,0.80947,0.75126,0.77801,0.46546,1.2587,0.88095,1.27521,0.000841835,0.000841835,0.000841835
