epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.4821,1.72223,3.06761,1.57174,0.14515,0.51747,0.27118,0.12753,1.55147,2.93904,1.48872,0.000546249,0.000546249,0.000546249
2,24.7884,1.63418,2.24643,1.49126,0.406,0.42056,0.4078,0.1984,1.70123,2.07652,1.64102,0.00109101,0.00109101,0.00109101
3,35.4921,1.68706,2.07715,1.50286,0.39802,0.41688,0.40579,0.18568,1.77731,3.33889,1.70216,0.00162476,0.00162476,0.00162476
4,46.0332,1.66335,1.90474,1.5241,0.38253,0.37753,0.36224,0.17116,1.75484,2.79074,1.78979,0.00161749,0.00161749,0.00161749
5,56.658,1.60347,1.70228,1.51422,0.87476,0.30556,0.34733,0.20204,1.60948,2.18357,1.56731,0.00160099,0.00160099,0.00160099
6,67.1372,1.54322,1.61835,1.44876,0.46752,0.48885,0.44729,0.22212,1.70381,1.56262,1.59018,0.00158448,0.00158448,0.00158448
7,77.713,1.47931,1.47564,1.42415,0.90394,0.32639,0.40135,0.2364,1.67354,1.65773,1.51056,0.00156798,0.00156798,0.00156798
8,88.244,1.50533,1.44534,1.45325,0.53622,0.5484,0.52769,0.2799,1.46956,1.53538,1.44558,0.00155148,0.00155148,0.00155148
9,98.6514,1.46658,1.38548,1.4014,0.5638,0.51479,0.53168,0.28424,1.48962,1.47832,1.45046,0.00153497,0.00153497,0.00153497
10,109.067,1.45064,1.31537,1.39035,0.77269,0.52206,0.57758,0.28783,1.52968,1.47635,1.4311,0.00151847,0.00151847,0.00151847
11,119.572,1.42871,1.29338,1.37504,0.58704,0.50168,0.52457,0.3168,1.44037,1.47058,1.37541,0.00150197,0.00150197,0.00150197
12,130.131,1.41102,1.25951,1.37538,0.58389,0.5114,0.51537,0.27202,1.52467,1.42992,1.50962,0.00148546,0.00148546,0.00148546
13,140.779,1.40532,1.24612,1.36439,0.80457,0.52998,0.62352,0.34564,1.41797,1.22286,1.43426,0.00146896,0.00146896,0.00146896
14,151.399,1.38018,1.22006,1.34852,0.55721,0.6513,0.62719,0.34273,1.39036,1.22071,1.35772,0.00145246,0.00145246,0.00145246
15,161.908,1.37098,1.15086,1.32299,0.5937,0.48422,0.55222,0.31592,1.42046,1.33189,1.38103,0.00143595,0.00143595,0.00143595
16,172.581,1.3561,1.16148,1.32463,0.56302,0.56166,0.54213,0.32055,1.44399,1.30436,1.34828,0.00141945,0.00141945,0.00141945
17,183.162,1.34098,1.14138,1.30744,0.68474,0.54076,0.61776,0.3475,1.39567,1.12424,1.32899,0.00140295,0.00140295,0.00140295
18,193.578,1.33478,1.10956,1.29591,0.48791,0.62142,0.53742,0.33066,1.36595,1.21063,1.34546,0.00138644,0.00138644,0.00138644
19,204.004,1.27814,1.07413,1.28082,0.69413,0.62109,0.67487,0.37887,1.41424,1.07571,1.40149,0.00136994,0.00136994,0.00136994
20,214.625,1.33226,1.11127,1.3166,0.66627,0.61637,0.62573,0.36944,1.3624,1.10672,1.35092,0.00135344,0.00135344,0.00135344
