epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.6921,1.6887,3.42246,1.65741,0.40059,0.34872,0.35104,0.18435,1.85728,2.80383,1.97708,0.000546249,0.000546249,0.000546249
2,47.2343,1.64627,1.74517,1.62521,0.57426,0.29798,0.30997,0.13458,1.99658,2.20201,2.18619,0.0010801,0.0010801,0.0010801
3,62.177,1.74549,1.73361,1.67475,0.29022,0.3129,0.21757,0.10361,1.82021,4.65062,2.07482,0.00159194,0.00159194,0.00159194
4,76.9811,1.72785,1.63776,1.67152,0.81843,0.27083,0.31831,0.14634,1.84117,2.34766,1.98608,0.00156798,0.00156798,0.00156798
5,91.8405,1.68857,1.55019,1.6353,0.34165,0.51599,0.40386,0.19544,1.69889,1.64117,1.88738,0.00153497,0.00153497,0.00153497
6,107.206,1.62042,1.50245,1.58907,0.5973,0.44276,0.48264,0.26144,1.59682,1.52478,1.77922,0.00150197,0.00150197,0.00150197
7,122.421,1.55493,1.42557,1.55709,0.57362,0.37805,0.3838,0.19548,1.89756,2.00861,1.97797,0.00146896,0.00146896,0.00146896
8,137.257,1.54822,1.36647,1.54812,0.60894,0.46317,0.54071,0.26428,1.65178,1.39852,1.8143,0.00143595,0.00143595,0.00143595
9,152.258,1.52969,1.34112,1.5285,0.53947,0.56208,0.55237,0.29815,1.58969,1.61004,1.72685,0.00140295,0.00140295,0.00140295
10,167.366,1.46862,1.25968,1.50158,0.53459,0.45811,0.48549,0.2719,1.54877,1.66657,1.70777,0.00136994,0.00136994,0.00136994
11,182.037,1.47069,1.26595,1.48968,0.46428,0.58691,0.51716,0.28014,1.61789,1.33586,1.75359,0.00133693,0.00133693,0.00133693
12,197.056,1.47784,1.23601,1.50006,0.71641,0.56784,0.61198,0.33575,1.45599,1.18996,1.62701,0.00130393,0.00130393,0.00130393
13,212.01,1.45004,1.20713,1.47372,0.5156,0.51662,0.51989,0.27924,1.68111,1.3093,1.79336,0.00127092,0.00127092,0.00127092
14,226.92,1.4264,1.19972,1.46233,0.63512,0.61567,0.64743,0.33054,1.47895,1.15445,1.65593,0.00123791,0.00123791,0.00123791
15,241.746,1.38973,1.1425,1.42866,0.52003,0.60332,0.5522,0.32033,1.57237,1.11477,1.72965,0.00120491,0.00120491,0.00120491
16,256.577,1.39335,1.10966,1.43273,0.64343,0.6029,0.62602,0.34487,1.47664,1.1031,1.64588,0.0011719,0.0011719,0.0011719
17,271.667,1.34534,1.08371,1.38441,0.69008,0.5545,0.59531,0.31856,1.45478,1.16885,1.66275,0.00113889,0.00113889,0.00113889
18,286.351,1.32426,1.0626,1.38024,0.75234,0.59988,0.65035,0.36368,1.42807,1.08418,1.6059,0.00110589,0.00110589,0.00110589
19,301.526,1.27504,1.03004,1.37653,0.8275,0.63405,0.70858,0.39747,1.36141,1.01568,1.60454,0.00107288,0.00107288,0.00107288
20,316.633,1.31791,1.04169,1.39563,0.85373,0.63468,0.71346,0.40975,1.36457,1.03272,1.56104,0.00103987,0.00103987,0.00103987
21,331.819,1.30911,1.01147,1.38032,0.7634,0.60961,0.71104,0.39617,1.38656,0.98573,1.57432,0.00100687,0.00100687,0.00100687
22,346.57,1.29395,1.01429,1.37145,0.58818,0.60774,0.60058,0.34505,1.44246,1.15997,1.61066,0.000973861,0.000973861,0.000973861
23,361.377,1.26012,0.98156,1.3552,0.81463,0.67627,0.73753,0.41796,1.34184,0.94933,1.53762,0.000940855,0.000940855,0.000940855
24,376.401,1.23492,0.97976,1.34335,0.71111,0.58347,0.65596,0.3755,1.40647,1.05414,1.58785,0.000907848,0.000907848,0.000907848
25,391.185,1.2498,0.97073,1.35742,0.7504,0.64625,0.7061,0.37969,1.43051,0.9896,1.62977,0.000874842,0.000874842,0.000874842
26,405.89,1.23912,0.95032,1.33037,0.72435,0.67248,0.69509,0.40125,1.33283,0.96425,1.5385,0.000841835,0.000841835,0.000841835
27,420.754,1.21338,0.91126,1.32286,0.7987,0.68266,0.74425,0.42445,1.37276,0.91328,1.5458,0.000808828,0.000808828,0.000808828
28,435.991,1.20696,0.9018,1.32723,0.76693,0.68013,0.72508,0.41683,1.35598,0.93407,1.56286,0.000775822,0.000775822,0.000775822
29,450.711,1.18978,0.92853,1.32741,0.67908,0.71543,0.72646,0.43015,1.30435,0.96171,1.52026,0.000742815,0.000742815,0.000742815
30,465.754,1.16479,0.88742,1.29062,0.70082,0.58965,0.67348,0.39941,1.36293,1.00865,1.5624,0.000709809,0.000709809,0.000709809
31,480.542,1.15853,0.87018,1.30483,0.80383,0.67211,0.74484,0.43311,1.34275,0.90791,1.54212,0.000676802,0.000676802,0.000676802
32,495.558,1.15421,0.83054,1.28465,0.78098,0.67319,0.75341,0.44509,1.3438,0.93373,1.53028,0.000643795,0.000643795,0.000643795
33,510.654,1.12671,0.83547,1.27008,0.85968,0.67069,0.7675,0.43262,1.33185,0.89394,1.53439,0.000610789,0.000610789,0.000610789
34,525.424,1.14171,0.82849,1.28941,0.70578,0.66204,0.69942,0.40737,1.38836,0.92342,1.58619,0.000577782,0.000577782,0.000577782
35,540.334,1.13812,0.81335,1.27086,0.78621,0.69634,0.74679,0.44876,1.30139,0.89281,1.52789,0.000544776,0.000544776,0.000544776
36,555.403,1.12637,0.79352,1.25947,0.72848,0.71032,0.72697,0.42797,1.32757,0.88643,1.54022,0.000511769,0.000511769,0.000511769
37,570.069,1.11006,0.7876,1.25845,0.86504,0.72787,0.78263,0.45723,1.2843,0.8337,1.52706,0.000478762,0.000478762,0.000478762
38,585.122,1.07638,0.76683,1.23555,0.84207,0.70475,0.77758,0.45379,1.27844,0.86823,1.49829,0.000445756,0.000445756,0.000445756
39,599.779,1.06134,0.75182,1.22484,0.77393,0.73024,0.77543,0.45573,1.29142,0.83914,1.51059,0.000412749,0.000412749,0.000412749
40,614.593,1.0597,0.73591,1.22542,0.79758,0.70203,0.7547,0.45012,1.29626,0.82672,1.53517,0.000379743,0.000379743,0.000379743
41,649.801,1.0008,0.72479,1.23048,0.85532,0.67572,0.7525,0.46163,1.24633,0.83969,1.51262,0.000346736,0.000346736,0.000346736
42,664.661,0.98132,0.6871,1.21747,0.7674,0.68191,0.75061,0.45262,1.26705,0.82606,1.51409,0.000313729,0.000313729,0.000313729
43,679.675,0.97546,0.67208,1.22796,0.77148,0.7376,0.76765,0.47083,1.25611,0.84051,1.50481,0.000280723,0.000280723,0.000280723
