epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.067,1.6887,3.42246,1.65741,0.40059,0.34872,0.35104,0.18435,1.85728,2.80383,1.97708,0.000546249,0.000546249,0.000546249
2,33.8362,1.65259,1.7574,1.62566,0.73854,0.13657,0.14137,0.06631,2.20794,3.17999,2.23657,0.00108828,0.00108828,0.00108828
3,48.5473,1.77364,1.67739,1.67017,0.36553,0.25366,0.21869,0.09394,2.44426,2.74547,2.39624,0.00161656,0.00161656,0.00161656
4,63.2635,1.71769,1.66256,1.66154,0.41382,0.2702,0.27765,0.13825,2.16829,2.59475,2.13305,0.00160511,0.00160511,0.00160511
5,77.7777,1.66019,1.51036,1.61442,0.53201,0.34175,0.37323,0.20532,1.8054,1.9878,2.01591,0.00158448,0.00158448,0.00158448
6,92.783,1.65108,1.53591,1.61157,0.5588,0.33819,0.41867,0.21239,1.71306,1.72059,1.88197,0.00156385,0.00156385,0.00156385
7,107.625,1.56631,1.39535,1.54407,0.85369,0.30556,0.37174,0.2034,1.75133,1.82487,1.85731,0.00154323,0.00154323,0.00154323
8,122.382,1.57548,1.42382,1.57171,0.41865,0.38374,0.3955,0.19128,1.76796,2.01317,1.86732,0.0015226,0.0015226,0.0015226
9,137.22,1.55585,1.36132,1.55286,0.49846,0.55556,0.54459,0.29391,1.52293,1.41843,1.68587,0.00150197,0.00150197,0.00150197
10,152.219,1.51808,1.30303,1.53898,0.52178,0.57155,0.53185,0.26872,1.57576,1.45806,1.71496,0.00148134,0.00148134,0.00148134
11,167.036,1.49321,1.28841,1.50093,0.53261,0.56917,0.56085,0.31778,1.4684,1.27191,1.64244,0.00146071,0.00146071,0.00146071
12,182.009,1.47658,1.24414,1.5113,0.56052,0.52817,0.54501,0.28783,1.57126,1.30919,1.71454,0.00144008,0.00144008,0.00144008
13,196.606,1.45353,1.22391,1.47816,0.55013,0.46864,0.50229,0.27415,1.64349,1.28217,1.79518,0.00141945,0.00141945,0.00141945
14,211.226,1.44276,1.2337,1.47174,0.77703,0.56216,0.65301,0.34589,1.4077,1.18516,1.61412,0.00139882,0.00139882,0.00139882
15,226.084,1.41331,1.1371,1.43278,0.53985,0.58923,0.56459,0.29497,1.61521,1.45997,1.77975,0.00137819,0.00137819,0.00137819
16,240.957,1.41303,1.16414,1.45445,0.6034,0.48001,0.54486,0.31878,1.47312,1.15483,1.64905,0.00135756,0.00135756,0.00135756
