epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.2947,1.6887,3.42246,1.65741,0.40059,0.34872,0.35104,0.18435,1.85728,2.80383,1.97708,0.000546249,0.000546249,0.000546249
2,35.7462,1.63014,1.73681,1.61593,0.33244,0.26637,0.29386,0.16054,1.81018,2.82244,2.04384,0.00108373,0.00108373,0.00108373
3,51.0614,1.71607,1.75081,1.66155,0.15477,0.16877,0.0606,0.01788,3.29212,5.62832,4.08689,0.00160288,0.00160288,0.00160288
4,66.2936,1.68074,1.63511,1.64444,0.80644,0.38008,0.42156,0.20852,1.72356,1.86323,1.92763,0.00158448,0.00158448,0.00158448
5,81.5559,1.63499,1.51046,1.63449,0.42874,0.323,0.33434,0.19903,1.88497,2.16298,1.97189,0.00155698,0.00155698,0.00155698
6,96.6163,1.60341,1.54954,1.61276,0.47252,0.36253,0.40367,0.21541,1.77858,1.82698,1.90609,0.00152947,0.00152947,0.00152947
7,112.01,1.53924,1.40894,1.55321,0.3863,0.42235,0.40182,0.20579,1.7299,1.72467,1.86908,0.00150197,0.00150197,0.00150197
8,126.995,1.54677,1.39768,1.57307,0.68851,0.44932,0.51552,0.26997,1.62915,1.51247,1.80336,0.00147446,0.00147446,0.00147446
9,142.343,1.50884,1.32264,1.52151,0.60428,0.55072,0.59037,0.32137,1.4894,1.35406,1.67635,0.00144696,0.00144696,0.00144696
10,157.63,1.4686,1.28938,1.50411,0.55243,0.61932,0.59367,0.30747,1.52603,1.3107,1.7087,0.00141945,0.00141945,0.00141945
11,173.065,1.4762,1.24916,1.50175,0.53389,0.51831,0.49616,0.27967,1.57863,1.36241,1.73523,0.00139195,0.00139195,0.00139195
12,187.986,1.44464,1.21706,1.49868,0.66182,0.56166,0.58831,0.31896,1.50847,1.22621,1.69775,0.00136444,0.00136444,0.00136444
13,202.962,1.46085,1.1795,1.48871,0.42592,0.56923,0.52992,0.28589,1.54702,1.29306,1.68529,0.00133693,0.00133693,0.00133693
14,217.966,1.40996,1.18107,1.4627,0.46223,0.58733,0.52739,0.26263,1.73166,1.30697,1.85252,0.00130943,0.00130943,0.00130943
15,233.115,1.4273,1.13052,1.44165,0.5688,0.64625,0.63546,0.33657,1.48742,1.30587,1.64695,0.00128192,0.00128192,0.00128192
16,248.729,1.38439,1.10777,1.43485,0.52213,0.52454,0.52619,0.32354,1.48355,1.19606,1.65486,0.00125442,0.00125442,0.00125442
17,263.868,1.36206,1.10919,1.41582,0.68722,0.5502,0.60846,0.35309,1.35078,1.43102,1.58023,0.00122691,0.00122691,0.00122691
18,279.318,1.3315,1.06773,1.3871,0.75576,0.59806,0.67572,0.37105,1.41683,1.09461,1.6203,0.00119941,0.00119941,0.00119941
19,294.591,1.29567,1.03739,1.38801,0.51325,0.57092,0.54161,0.30779,1.45081,1.51379,1.64529,0.0011719,0.0011719,0.0011719
20,309.706,1.33983,1.06234,1.41324,0.65739,0.62171,0.63676,0.36462,1.42566,1.03928,1.60812,0.0011444,0.0011444,0.0011444
21,324.626,1.28084,1.02012,1.38646,0.72161,0.66162,0.65254,0.37598,1.34904,1.0472,1.57152,0.00111689,0.00111689,0.00111689
22,340.164,1.3076,1.02261,1.39855,0.56066,0.61469,0.59719,0.3422,1.42323,1.07676,1.63323,0.00108938,0.00108938,0.00108938
23,355.099,1.30889,1.00332,1.37781,0.56283,0.66014,0.59444,0.33649,1.4659,1.13465,1.63653,0.00106188,0.00106188,0.00106188
24,370.21,1.26885,1.012,1.3644,0.7545,0.60753,0.67647,0.36749,1.44141,0.98681,1.66482,0.00103437,0.00103437,0.00103437
25,385.161,1.25937,0.98902,1.36537,0.65991,0.66014,0.68821,0.40326,1.4034,0.9899,1.63578,0.00100687,0.00100687,0.00100687
26,400.632,1.25065,0.96827,1.35188,0.69156,0.63333,0.70554,0.39256,1.37567,0.96763,1.58623,0.000979362,0.000979362,0.000979362
27,415.599,1.23924,0.95335,1.34888,0.72675,0.69809,0.70344,0.40649,1.37709,0.94989,1.56973,0.000951857,0.000951857,0.000951857
28,430.977,1.22822,0.94702,1.34527,0.7693,0.62038,0.71479,0.41018,1.3421,0.94872,1.52593,0.000924352,0.000924352,0.000924352
29,446.345,1.20347,0.9598,1.34315,0.84492,0.70539,0.78956,0.42329,1.38706,0.92468,1.59186,0.000896846,0.000896846,0.000896846
30,461.687,1.18663,0.89938,1.30519,0.7068,0.63447,0.66933,0.3849,1.31828,0.99976,1.56885,0.00086934,0.00086934,0.00086934
31,476.996,1.17919,0.88689,1.3237,0.80852,0.69823,0.74415,0.41475,1.3619,0.92872,1.5893,0.000841835,0.000841835,0.000841835
32,492.114,1.18293,0.86239,1.30245,0.73077,0.73274,0.72357,0.41474,1.31839,1.00151,1.54866,0.000814329,0.000814329,0.000814329
33,507.438,1.17426,0.87963,1.30676,0.66717,0.71002,0.73352,0.42197,1.34667,0.91928,1.56638,0.000786824,0.000786824,0.000786824
34,522.598,1.15474,0.8661,1.30047,0.71373,0.67551,0.71138,0.40418,1.3809,0.94667,1.58889,0.000759318,0.000759318,0.000759318
35,538.033,1.14652,0.85992,1.29543,0.63551,0.67151,0.67858,0.41656,1.26726,0.91662,1.50244,0.000731813,0.000731813,0.000731813
36,553.237,1.16726,0.82726,1.2939,0.73879,0.6771,0.73154,0.42634,1.35538,0.88161,1.55777,0.000704307,0.000704307,0.000704307
