epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.9528,1.67273,5.42277,1.6236,0.81937,0.19444,0.21987,0.11802,1.899,5.41041,1.96858,0.000546249,0.000546249,0.000546249
2,34.0332,1.67897,2.84273,1.63691,0.20745,0.3146,0.16613,0.07782,2.20459,9.19703,3.44226,0.00108373,0.00108373,0.00108373
3,49.4126,1.74351,2.67435,1.674,0.27757,0.34145,0.20494,0.08025,2.16381,4.06557,2.34767,0.00160288,0.00160288,0.00160288
4,64.3565,1.7347,2.67673,1.67451,0.30289,0.21675,0.20393,0.0973,1.95928,4.29256,2.06403,0.00158448,0.00158448,0.00158448
5,79.2978,1.64557,2.41585,1.62499,0.40521,0.37427,0.3899,0.21403,1.67267,3.17036,1.94172,0.00155698,0.00155698,0.00155698
6,94.6444,1.63142,2.39732,1.61902,0.63483,0.38573,0.41164,0.19728,1.9443,2.95062,1.96113,0.00152947,0.00152947,0.00152947
7,109.614,1.57791,2.23353,1.56969,0.34829,0.3125,0.35467,0.19064,1.98095,3.41225,1.97908,0.00150197,0.00150197,0.00150197
8,124.599,1.54885,2.19289,1.56675,0.52536,0.54258,0.54982,0.27767,1.72973,2.33842,1.89174,0.00147446,0.00147446,0.00147446
9,140.032,1.54735,2.12855,1.55417,0.41287,0.56019,0.51697,0.27135,1.6505,2.29415,1.83108,0.00144696,0.00144696,0.00144696
10,155.359,1.51631,2.06784,1.53493,0.66542,0.51599,0.5199,0.25087,1.72324,2.35512,1.78848,0.00141945,0.00141945,0.00141945
11,170.237,1.50096,2.02681,1.5141,0.61432,0.48967,0.52905,0.27166,1.76723,2.11935,1.82592,0.00139195,0.00139195,0.00139195
12,185.235,1.48587,1.92503,1.51717,0.6829,0.51451,0.57442,0.30663,1.56878,2.17408,1.71467,0.00136444,0.00136444,0.00136444
13,200.464,1.45766,1.91845,1.48727,0.72477,0.4908,0.51893,0.27515,1.71438,2.07078,1.83324,0.00133693,0.00133693,0.00133693
14,215.78,1.43601,1.86403,1.47048,0.60853,0.68143,0.67096,0.34371,1.48796,1.8239,1.66222,0.00130943,0.00130943,0.00130943
15,231.102,1.39412,1.76789,1.43533,0.62146,0.6256,0.62619,0.34016,1.46429,1.94565,1.64872,0.00128192,0.00128192,0.00128192
16,246.207,1.40169,1.77687,1.4589,0.78522,0.59573,0.67087,0.38003,1.40912,1.74616,1.61199,0.00125442,0.00125442,0.00125442
17,261.367,1.36931,1.76896,1.42006,0.57498,0.55976,0.54581,0.31774,1.45979,2.28643,1.6449,0.00122691,0.00122691,0.00122691
18,276.278,1.36893,1.70286,1.4124,0.73871,0.65741,0.6666,0.37492,1.37063,1.79701,1.55294,0.00119941,0.00119941,0.00119941
19,291.166,1.30996,1.63013,1.40304,0.67842,0.57566,0.62197,0.37145,1.3674,1.9124,1.58375,0.0011719,0.0011719,0.0011719
20,306.166,1.35684,1.66969,1.43609,0.6361,0.63952,0.63844,0.35546,1.42503,1.71064,1.61302,0.0011444,0.0011444,0.0011444
21,321.978,1.30337,1.60591,1.40115,0.61,0.63721,0.64663,0.36192,1.45717,1.70726,1.63074,0.00111689,0.00111689,0.00111689
22,337.605,1.28586,1.6022,1.37715,0.58681,0.62466,0.62548,0.37917,1.42259,1.67416,1.63713,0.00108938,0.00108938,0.00108938
23,352.431,1.31381,1.57762,1.38656,0.73101,0.63037,0.67649,0.3846,1.40522,1.63459,1.59016,0.00106188,0.00106188,0.00106188
24,367.656,1.27495,1.56656,1.36964,0.71458,0.66225,0.70165,0.40671,1.36939,1.56228,1.56877,0.00103437,0.00103437,0.00103437
25,382.805,1.29879,1.55528,1.38409,0.77792,0.65299,0.73068,0.39884,1.39537,1.5845,1.61702,0.00100687,0.00100687,0.00100687
26,397.667,1.26855,1.50249,1.35056,0.80788,0.69151,0.75041,0.39324,1.3717,1.60458,1.5535,0.000979362,0.000979362,0.000979362
27,412.537,1.25721,1.4844,1.35635,0.71625,0.71233,0.70586,0.40052,1.36582,1.66606,1.56808,0.000951857,0.000951857,0.000951857
28,427.542,1.23978,1.47741,1.34735,0.72299,0.70076,0.72855,0.42885,1.3453,1.52464,1.55681,0.000924352,0.000924352,0.000924352
29,442.729,1.20226,1.48554,1.34301,0.83839,0.61976,0.727,0.40548,1.34532,1.55789,1.54054,0.000896846,0.000896846,0.000896846
30,457.741,1.20239,1.40664,1.31081,0.6846,0.71342,0.71983,0.41146,1.31679,1.6046,1.54891,0.00086934,0.00086934,0.00086934
31,472.653,1.21042,1.38694,1.33866,0.85856,0.62841,0.7552,0.41752,1.35162,1.48083,1.56009,0.000841835,0.000841835,0.000841835
32,487.52,1.19616,1.35741,1.3151,0.68927,0.69865,0.74135,0.42926,1.3319,1.4869,1.54112,0.000814329,0.000814329,0.000814329
33,502.735,1.18078,1.34752,1.30579,0.74471,0.68939,0.72607,0.40674,1.35267,1.48451,1.55594,0.000786824,0.000786824,0.000786824
34,517.539,1.18469,1.33647,1.31188,0.71507,0.70539,0.74914,0.40435,1.40412,1.48226,1.59274,0.000759318,0.000759318,0.000759318
35,532.562,1.1772,1.35826,1.30446,0.75037,0.66417,0.72814,0.4282,1.29454,1.44059,1.49294,0.000731813,0.000731813,0.000731813
36,547.514,1.19605,1.32174,1.30616,0.74496,0.68056,0.74833,0.42032,1.39511,1.46732,1.57458,0.000704307,0.000704307,0.000704307
37,562.349,1.15924,1.30591,1.29483,0.72731,0.70749,0.74807,0.44957,1.28172,1.37773,1.50002,0.000676802,0.000676802,0.000676802
38,577.741,1.13971,1.27206,1.27221,0.68098,0.73737,0.72948,0.45282,1.28581,1.43027,1.51439,0.000649297,0.000649297,0.000649297
39,592.954,1.10684,1.2383,1.257,0.7956,0.68729,0.76497,0.46474,1.27362,1.33089,1.48436,0.000621791,0.000621791,0.000621791
40,608.096,1.10998,1.22088,1.25086,0.75781,0.71233,0.75547,0.43486,1.31029,1.3989,1.50948,0.000594286,0.000594286,0.000594286
41,623.137,1.11439,1.24379,1.26333,0.80602,0.70001,0.73724,0.44763,1.27482,1.43518,1.51425,0.00056678,0.00056678,0.00056678
42,638.231,1.09334,1.21847,1.25274,0.65433,0.73737,0.7269,0.43354,1.31882,1.37018,1.51111,0.000539275,0.000539275,0.000539275
43,653.211,1.09836,1.2181,1.2457,0.83706,0.71886,0.78596,0.46002,1.29058,1.37708,1.50218,0.000511769,0.000511769,0.000511769
44,667.947,1.05142,1.18658,1.22826,0.82383,0.69129,0.77997,0.45958,1.29112,1.30945,1.50004,0.000484263,0.000484263,0.000484263
45,682.78,1.06692,1.16311,1.23933,0.82643,0.71445,0.77921,0.45895,1.3188,1.34902,1.52298,0.000456758,0.000456758,0.000456758
46,697.576,1.0436,1.15117,1.22445,0.78077,0.71212,0.78578,0.46517,1.27222,1.33094,1.50367,0.000429253,0.000429253,0.000429253
47,712.851,1.06447,1.16244,1.22528,0.7557,0.68229,0.71879,0.40993,1.33476,1.42939,1.5534,0.000401747,0.000401747,0.000401747
48,727.789,1.01457,1.098,1.19496,0.78989,0.6954,0.76309,0.45455,1.29418,1.28197,1.53422,0.000374242,0.000374242,0.000374242
49,742.687,1.03083,1.09212,1.20992,0.73603,0.71611,0.73795,0.43403,1.29482,1.32079,1.51565,0.000346736,0.000346736,0.000346736
50,757.486,1.03175,1.08987,1.20605,0.83912,0.67184,0.77147,0.46555,1.2832,1.25195,1.52804,0.000319231,0.000319231,0.000319231
51,793.322,0.98094,1.02111,1.20854,0.83311,0.72409,0.77805,0.45318,1.28917,1.23493,1.53028,0.000291725,0.000291725,0.000291725
52,808.138,0.93898,0.95293,1.19359,0.85098,0.67417,0.76026,0.46775,1.28785,1.21618,1.54259,0.00026422,0.00026422,0.00026422
53,823.064,0.95564,0.92636,1.19271,0.83031,0.74179,0.77506,0.45791,1.27695,1.24254,1.5317,0.000236714,0.000236714,0.000236714
54,837.945,0.92891,0.9184,1.18711,0.86341,0.68788,0.78722,0.47755,1.26156,1.24545,1.51466,0.000209209,0.000209209,0.000209209
55,853.001,0.91129,0.9,1.179,0.89466,0.70413,0.80743,0.47745,1.29386,1.23499,1.52117,0.000181703,0.000181703,0.000181703
56,867.816,0.90491,0.89291,1.1767,0.84112,0.72786,0.79111,0.48028,1.26272,1.24785,1.53958,0.000154198,0.000154198,0.000154198
57,882.816,0.88544,0.87219,1.15592,0.83067,0.71233,0.78535,0.47478,1.27862,1.22803,1.52665,0.000126692,0.000126692,0.000126692
58,897.607,0.87917,0.87013,1.1531,0.89388,0.71588,0.80086,0.47306,1.28175,1.20116,1.51847,9.91865e-05,9.91865e-05,9.91865e-05
59,912.361,0.85985,0.84955,1.13859,0.87023,0.70518,0.80477,0.48,1.2743,1.23377,1.52458,7.1681e-05,7.1681e-05,7.1681e-05
60,927.302,0.86778,0.82849,1.15088,0.87526,0.70406,0.80419,0.4797,1.26833,1.20887,1.51721,4.41755e-05,4.41755e-05,4.41755e-05
