epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.7599,1.66236,2.96036,1.55347,0.90522,0.10648,0.2817,0.15586,1.69117,2.78149,1.50093,0.000546249,0.000546249,0.000546249
2,30.5097,1.57606,2.10114,1.43493,0.45424,0.30317,0.32743,0.16748,1.79105,2.17233,1.68059,0.0010801,0.0010801,0.0010801
3,40.3792,1.59252,1.96327,1.46016,0.25481,0.36216,0.27047,0.13129,1.80399,2.21062,1.69786,0.00159194,0.00159194,0.00159194
4,50.0875,1.57786,1.83047,1.46705,0.55741,0.29588,0.32443,0.1645,1.78818,2.1037,1.68447,0.00156798,0.00156798,0.00156798
5,60.0938,1.53917,1.61654,1.45301,0.49801,0.38134,0.40318,0.19414,1.55785,2.37869,1.64049,0.00153497,0.00153497,0.00153497
6,70.1063,1.50916,1.56725,1.40183,0.53667,0.5242,0.53286,0.28796,1.50462,1.43123,1.42851,0.00150197,0.00150197,0.00150197
7,79.9471,1.42198,1.42034,1.37145,0.47525,0.4678,0.43349,0.24272,1.54107,1.76794,1.47262,0.00146896,0.00146896,0.00146896
8,89.6992,1.46666,1.3949,1.41077,0.71621,0.47158,0.54661,0.29355,1.58569,1.33229,1.51586,0.00143595,0.00143595,0.00143595
9,99.6126,1.44029,1.34723,1.38525,0.737,0.57463,0.6314,0.32265,1.47455,1.3087,1.42399,0.00140295,0.00140295,0.00140295
10,109.325,1.38799,1.27155,1.3521,0.73784,0.49348,0.5866,0.30874,1.55377,1.29063,1.46488,0.00136994,0.00136994,0.00136994
11,119.025,1.38614,1.25267,1.34058,0.67792,0.58588,0.65193,0.36006,1.42806,1.15232,1.38115,0.00133693,0.00133693,0.00133693
12,128.892,1.36551,1.23551,1.35205,0.65386,0.59238,0.60869,0.34876,1.39148,1.33915,1.41414,0.00130393,0.00130393,0.00130393
13,138.603,1.37171,1.20499,1.32897,0.65113,0.6449,0.66465,0.39559,1.337,1.11656,1.33772,0.00127092,0.00127092,0.00127092
14,148.388,1.32588,1.14556,1.30912,0.7631,0.61364,0.70659,0.39566,1.36335,1.08979,1.3596,0.00123791,0.00123791,0.00123791
