epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.7868,1.67711,4.84344,1.55363,0.71966,0.32342,0.3519,0.18527,1.71327,3.42217,1.61132,0.000552035,0.000552035,0.000552035
2,62.944,1.6447,3.29533,1.50456,0.31678,0.27372,0.29803,0.13792,1.78351,4.22259,1.69946,0.00109399,0.00109399,0.00109399
3,91.1902,1.62893,2.70566,1.51051,0.28229,0.30019,0.35196,0.16698,1.74573,3.3669,1.61987,0.0016222,0.0016222,0.0016222
4,118.728,1.59249,2.39194,1.46716,0.51689,0.44971,0.46439,0.20276,1.8111,2.46911,1.5871,0.00160511,0.00160511,0.00160511
5,146.167,1.54878,2.16599,1.43858,0.57586,0.52363,0.53644,0.27774,1.59646,2.27951,1.48084,0.00158448,0.00158448,0.00158448
6,173.874,1.4945,2.03577,1.40165,0.48189,0.61008,0.55986,0.29062,1.54898,2.1431,1.47579,0.00156385,0.00156385,0.00156385
7,202.231,1.49015,1.93125,1.38624,0.51148,0.60561,0.57776,0.28753,1.54748,2.09228,1.4209,0.00154323,0.00154323,0.00154323
8,229.917,1.44223,1.84513,1.37162,0.64088,0.55156,0.60557,0.33025,1.48961,1.98508,1.42871,0.0015226,0.0015226,0.0015226
9,258.083,1.41746,1.7807,1.3648,0.56351,0.59148,0.60621,0.32441,1.5094,1.86362,1.44064,0.00150197,0.00150197,0.00150197
10,285.703,1.40162,1.75529,1.35011,0.63821,0.6142,0.6498,0.35275,1.48201,1.85268,1.42832,0.00148134,0.00148134,0.00148134
11,313.393,1.36448,1.69565,1.32354,0.69909,0.63509,0.66978,0.35347,1.46752,1.80306,1.40263,0.00146071,0.00146071,0.00146071
12,340.912,1.35374,1.66513,1.31948,0.69869,0.61324,0.67292,0.38102,1.39186,1.72576,1.36618,0.00144008,0.00144008,0.00144008
13,368.452,1.3353,1.60411,1.30674,0.641,0.63947,0.67882,0.39456,1.40913,1.70184,1.37734,0.00141945,0.00141945,0.00141945
14,396.051,1.30485,1.58544,1.29061,0.63556,0.6708,0.69181,0.38919,1.41279,1.68955,1.35197,0.00139882,0.00139882,0.00139882
15,423.394,1.29746,1.54252,1.29047,0.58423,0.67966,0.67929,0.38653,1.39199,1.63937,1.34149,0.00137819,0.00137819,0.00137819
16,451.308,1.29202,1.52407,1.28617,0.67856,0.60407,0.67228,0.384,1.38378,1.64887,1.35231,0.00135756,0.00135756,0.00135756
17,479.007,1.27007,1.49133,1.27288,0.6488,0.68141,0.68509,0.3911,1.38773,1.66836,1.34815,0.00133693,0.00133693,0.00133693
18,506.887,1.26583,1.47416,1.26157,0.61366,0.67113,0.67909,0.37963,1.42158,1.64863,1.36312,0.0013163,0.0013163,0.0013163
19,534.503,1.25774,1.44282,1.26347,0.65456,0.69257,0.71276,0.41207,1.37568,1.54776,1.33248,0.00129568,0.00129568,0.00129568
20,562.034,1.24729,1.42503,1.2481,0.67155,0.63302,0.68354,0.39495,1.4116,1.67577,1.35241,0.00127505,0.00127505,0.00127505
