epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.9368,1.73401,5.19089,1.69044,0.32638,0.30264,0.35599,0.17753,1.6911,3.71552,1.83138,0.000552035,0.000552035,0.000552035
2,82.7659,1.75701,2.78736,1.66391,0.43729,0.48864,0.42794,0.18371,1.90004,2.95305,1.88759,0.00109399,0.00109399,0.00109399
3,121.338,1.72732,2.60766,1.65893,0.68066,0.21023,0.17553,0.07438,1.97661,7.35539,1.95864,0.0016222,0.0016222,0.0016222
4,159.179,1.69436,2.46482,1.63946,0.50643,0.43145,0.39527,0.17687,1.76268,3.05961,1.78463,0.00160511,0.00160511,0.00160511
5,197.338,1.6571,2.31515,1.58437,0.55303,0.43895,0.48874,0.23699,1.68254,2.56029,1.61504,0.00158448,0.00158448,0.00158448
6,236.136,1.60486,2.21722,1.54281,0.49018,0.41228,0.39082,0.17939,1.87045,2.8166,1.74907,0.00156385,0.00156385,0.00156385
7,273.818,1.58743,2.12318,1.52743,0.56245,0.56913,0.56586,0.27782,1.66405,2.20719,1.58903,0.00154323,0.00154323,0.00154323
8,311.813,1.52006,2.00332,1.4949,0.59744,0.5299,0.59267,0.31276,1.52614,1.95347,1.50394,0.0015226,0.0015226,0.0015226
9,349.79,1.49764,1.95344,1.46849,0.58239,0.60955,0.60217,0.30565,1.5939,1.98987,1.57801,0.00150197,0.00150197,0.00150197
10,387.686,1.46977,1.89574,1.45325,0.64779,0.5872,0.63096,0.3312,1.51657,1.97805,1.50022,0.00148134,0.00148134,0.00148134
11,425.881,1.44964,1.81793,1.43551,0.55843,0.58174,0.55684,0.27455,1.66025,2.14231,1.60777,0.00146071,0.00146071,0.00146071
12,463.572,1.42887,1.75753,1.42523,0.57727,0.59496,0.63361,0.33683,1.53349,1.82437,1.47001,0.00144008,0.00144008,0.00144008
13,501.663,1.39517,1.754,1.4016,0.64945,0.5635,0.64736,0.33884,1.48456,1.93933,1.45037,0.00141945,0.00141945,0.00141945
14,540.333,1.40208,1.73671,1.40235,0.68021,0.54775,0.62037,0.33201,1.4738,1.86051,1.44528,0.00139882,0.00139882,0.00139882
15,578.207,1.38864,1.69437,1.38691,0.6528,0.62505,0.6755,0.362,1.45066,1.69276,1.44564,0.00137819,0.00137819,0.00137819
16,616.187,1.3798,1.68128,1.39842,0.63958,0.624,0.66492,0.37154,1.41449,1.74124,1.43126,0.00135756,0.00135756,0.00135756
17,654.146,1.32421,1.58781,1.36768,0.58358,0.68643,0.68062,0.37901,1.3759,1.71573,1.41212,0.00133693,0.00133693,0.00133693
18,692.164,1.31313,1.59876,1.34523,0.59796,0.7041,0.67462,0.36771,1.43442,1.66781,1.43963,0.0013163,0.0013163,0.0013163
19,730.098,1.32206,1.54846,1.35222,0.62818,0.64246,0.67312,0.37083,1.38578,1.74167,1.4185,0.00129568,0.00129568,0.00129568
20,768.083,1.32179,1.55874,1.34396,0.66567,0.65516,0.6932,0.38469,1.42258,1.57106,1.40505,0.00127505,0.00127505,0.00127505
21,806.182,1.30206,1.5298,1.33832,0.6164,0.65698,0.69217,0.39212,1.39626,1.60053,1.3885,0.00125442,0.00125442,0.00125442
22,844.397,1.28411,1.51173,1.32387,0.57602,0.70066,0.69711,0.39336,1.41496,1.59416,1.40188,0.00123379,0.00123379,0.00123379
23,882.465,1.27831,1.48957,1.32286,0.66198,0.6727,0.68955,0.38959,1.39002,1.60891,1.39134,0.00121316,0.00121316,0.00121316
24,920.427,1.24704,1.45232,1.30206,0.72179,0.64221,0.69565,0.38458,1.39293,1.73061,1.41124,0.00119253,0.00119253,0.00119253
25,958.49,1.24752,1.42272,1.30908,0.67852,0.66108,0.69985,0.39035,1.40215,1.62799,1.41491,0.0011719,0.0011719,0.0011719
26,996.301,1.24522,1.44933,1.30272,0.74412,0.66856,0.73296,0.40697,1.34976,1.48643,1.37993,0.00115127,0.00115127,0.00115127
27,1034.36,1.2388,1.43588,1.30846,0.68716,0.6581,0.69709,0.39532,1.36257,1.54796,1.38571,0.00113064,0.00113064,0.00113064
28,1072.3,1.21007,1.38439,1.28575,0.69283,0.69358,0.71059,0.41501,1.3383,1.47518,1.36974,0.00111001,0.00111001,0.00111001
29,1110.58,1.20052,1.35631,1.27705,0.73926,0.72321,0.77231,0.42637,1.3674,1.41264,1.38283,0.00108938,0.00108938,0.00108938
30,1148.88,1.19665,1.35517,1.27068,0.71797,0.66786,0.74794,0.43363,1.34662,1.41097,1.38419,0.00106876,0.00106876,0.00106876
31,1187.05,1.21137,1.33814,1.28553,0.69026,0.67524,0.73257,0.4289,1.32291,1.44608,1.3769,0.00104813,0.00104813,0.00104813
32,1225.1,1.17464,1.32644,1.2644,0.75897,0.66348,0.76189,0.45168,1.29642,1.39963,1.33991,0.0010275,0.0010275,0.0010275
33,1263.23,1.18495,1.30924,1.26337,0.69144,0.67994,0.70313,0.41949,1.31422,1.42438,1.3621,0.00100687,0.00100687,0.00100687
34,1301.31,1.1634,1.29141,1.25333,0.79079,0.67346,0.75683,0.44361,1.32808,1.37899,1.38302,0.000986239,0.000986239,0.000986239
35,1339.2,1.17156,1.30784,1.25622,0.76324,0.67888,0.74637,0.43613,1.32508,1.39925,1.36123,0.00096561,0.00096561,0.00096561
36,1377.17,1.15311,1.2555,1.25016,0.66066,0.66891,0.71893,0.42829,1.32786,1.40083,1.36357,0.000944981,0.000944981,0.000944981
37,1415.01,1.14936,1.25017,1.24374,0.73559,0.68456,0.72765,0.40363,1.34516,1.46699,1.38374,0.000924352,0.000924352,0.000924352
38,1453,1.1397,1.24347,1.23442,0.74393,0.68342,0.75456,0.44979,1.31075,1.3829,1.35787,0.000903722,0.000903722,0.000903722
39,1490.78,1.1339,1.22353,1.23766,0.73901,0.67235,0.73412,0.42828,1.35465,1.37266,1.38125,0.000883093,0.000883093,0.000883093
40,1528.58,1.12959,1.21541,1.22833,0.70249,0.70305,0.735,0.43765,1.32092,1.34277,1.35494,0.000862464,0.000862464,0.000862464
41,1566.65,1.09503,1.20012,1.21437,0.78922,0.63206,0.74172,0.44444,1.28431,1.36532,1.33081,0.000841835,0.000841835,0.000841835
42,1604.58,1.09341,1.19399,1.21023,0.71362,0.71682,0.74637,0.4446,1.30711,1.38126,1.35496,0.000821206,0.000821206,0.000821206
43,1642.65,1.09858,1.18986,1.21356,0.69761,0.71372,0.74746,0.46152,1.25745,1.34053,1.32217,0.000800577,0.000800577,0.000800577
44,1680.87,1.0951,1.1666,1.20273,0.77041,0.68301,0.7606,0.44857,1.29744,1.34069,1.35008,0.000779948,0.000779948,0.000779948
45,1719.09,1.08302,1.14433,1.21245,0.79114,0.68044,0.76232,0.45644,1.27758,1.32646,1.35349,0.000759318,0.000759318,0.000759318
46,1757.08,1.06972,1.12307,1.19964,0.7942,0.67282,0.75527,0.44545,1.31279,1.37784,1.36867,0.000738689,0.000738689,0.000738689
47,1794.96,1.06214,1.12575,1.19287,0.78595,0.66438,0.7504,0.45266,1.25431,1.31984,1.34435,0.00071806,0.00071806,0.00071806
48,1832.93,1.03926,1.10104,1.18477,0.8033,0.65785,0.74849,0.45066,1.26422,1.32214,1.34138,0.000697431,0.000697431,0.000697431
49,1871.01,1.04189,1.08313,1.1791,0.79252,0.66133,0.75843,0.4493,1.26615,1.32434,1.35518,0.000676802,0.000676802,0.000676802
50,1908.99,1.03979,1.09598,1.17551,0.76628,0.68291,0.75687,0.4566,1.2697,1.31508,1.34527,0.000656173,0.000656173,0.000656173
51,1947.01,1.02643,1.06757,1.17302,0.79332,0.6926,0.7773,0.4477,1.29386,1.30638,1.36827,0.000635544,0.000635544,0.000635544
52,1984.82,1.02216,1.04635,1.16925,0.81772,0.66537,0.76958,0.47776,1.22718,1.27449,1.32947,0.000614915,0.000614915,0.000614915
53,2023.51,1.00941,1.04918,1.15986,0.83372,0.67534,0.78169,0.4611,1.2597,1.29021,1.3337,0.000594286,0.000594286,0.000594286
54,2061.41,1.00215,1.03374,1.15563,0.85466,0.6772,0.78596,0.46567,1.27064,1.23122,1.34114,0.000573656,0.000573656,0.000573656
55,2099.41,0.99564,1.03877,1.1483,0.75312,0.71782,0.76678,0.46887,1.24001,1.24337,1.33192,0.000553027,0.000553027,0.000553027
56,2137.29,0.97832,1.00755,1.14501,0.78345,0.69488,0.76521,0.45992,1.2705,1.28056,1.34855,0.000532398,0.000532398,0.000532398
57,2175.49,0.98943,0.99491,1.1449,0.83039,0.65316,0.75026,0.45401,1.24178,1.24536,1.32417,0.000511769,0.000511769,0.000511769
58,2213.5,0.98164,0.98765,1.14845,0.77281,0.70517,0.76922,0.4706,1.26104,1.24407,1.35254,0.00049114,0.00049114,0.00049114
59,2251.6,0.96424,0.99389,1.13058,0.82711,0.64463,0.75632,0.46803,1.2665,1.29369,1.34724,0.000470511,0.000470511,0.000470511
60,2289.85,0.95699,0.97035,1.12872,0.83937,0.6593,0.7742,0.46642,1.23776,1.22252,1.33071,0.000449882,0.000449882,0.000449882
61,2328,0.94587,0.97505,1.12261,0.79758,0.69323,0.75906,0.46542,1.23981,1.28923,1.34438,0.000429253,0.000429253,0.000429253
62,2366.27,0.9333,0.94308,1.11796,0.75431,0.69676,0.75359,0.46501,1.22516,1.27806,1.32686,0.000408623,0.000408623,0.000408623
63,2404.22,0.93851,0.94298,1.11848,0.80978,0.68421,0.78279,0.47043,1.25659,1.21854,1.34154,0.000387994,0.000387994,0.000387994
64,2442.21,0.94219,0.92803,1.12016,0.773,0.7071,0.77121,0.47049,1.22601,1.22898,1.31452,0.000367365,0.000367365,0.000367365
65,2480.21,0.90618,0.90398,1.10414,0.78603,0.68954,0.78458,0.47671,1.2443,1.21096,1.34446,0.000346736,0.000346736,0.000346736
66,2518.31,0.91153,0.9131,1.10451,0.82095,0.67389,0.77918,0.47718,1.22703,1.18103,1.34671,0.000326107,0.000326107,0.000326107
67,2556.47,0.90868,0.90819,1.10369,0.75959,0.71242,0.77812,0.47129,1.24421,1.21065,1.34223,0.000305478,0.000305478,0.000305478
