epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.1167,1.75779,5.20947,1.79211,0.3829,0.36351,0.29018,0.12172,1.86347,3.42051,2.02277,0.000552035,0.000552035,0.000552035
2,83.2897,1.74202,2.66017,1.80053,0.20812,0.20031,0.16093,0.07248,2.52059,5.10155,2.70412,0.00109399,0.00109399,0.00109399
3,121.599,1.75611,2.59919,1.81755,0.82288,0.28788,0.31833,0.13829,1.88258,4.10576,2.04456,0.0016222,0.0016222,0.0016222
4,159.967,1.71938,2.42787,1.78557,0.88751,0.31818,0.41182,0.18907,1.84059,2.86256,1.96638,0.00160511,0.00160511,0.00160511
5,198.278,1.6152,2.2615,1.73226,0.59667,0.43093,0.46643,0.2303,1.69575,2.87009,1.85306,0.00158448,0.00158448,0.00158448
6,237.055,1.61052,2.15642,1.7059,0.41826,0.5781,0.53911,0.26666,1.6191,2.19248,1.77531,0.00156385,0.00156385,0.00156385
7,275.469,1.54286,2.05046,1.65832,0.87406,0.36174,0.4332,0.22616,1.67894,2.87485,1.77006,0.00154323,0.00154323,0.00154323
8,313.383,1.49208,1.9627,1.62905,0.59363,0.54077,0.55823,0.28404,1.58226,2.08852,1.71127,0.0015226,0.0015226,0.0015226
9,351.891,1.47738,1.88524,1.61249,0.58882,0.51854,0.53482,0.27856,1.60186,2.11133,1.73385,0.00150197,0.00150197,0.00150197
10,390.031,1.45055,1.81226,1.59241,0.42849,0.55084,0.53046,0.28512,1.52253,2.15044,1.70364,0.00148134,0.00148134,0.00148134
11,428.461,1.43416,1.77248,1.58487,0.60949,0.51924,0.5409,0.28492,1.53975,1.96161,1.70603,0.00146071,0.00146071,0.00146071
12,466.352,1.39541,1.71796,1.55644,0.61291,0.65779,0.64524,0.33792,1.48134,1.84914,1.63968,0.00144008,0.00144008,0.00144008
13,504.692,1.40844,1.67659,1.54956,0.63995,0.63805,0.67036,0.35597,1.45573,1.76047,1.62831,0.00141945,0.00141945,0.00141945
14,543.016,1.35913,1.63364,1.52849,0.64048,0.58301,0.63432,0.34662,1.4376,1.76873,1.63005,0.00139882,0.00139882,0.00139882
15,581.257,1.33509,1.59479,1.50386,0.67405,0.58463,0.64461,0.34512,1.45557,1.78186,1.64629,0.00137819,0.00137819,0.00137819
16,619.219,1.32932,1.58071,1.49966,0.70815,0.59121,0.65495,0.34305,1.49538,1.71833,1.63827,0.00135756,0.00135756,0.00135756
17,657.522,1.31054,1.53687,1.4924,0.70905,0.59013,0.65775,0.35785,1.46467,1.78237,1.65049,0.00133693,0.00133693,0.00133693
18,696.1,1.31134,1.50697,1.4885,0.80331,0.58936,0.71277,0.39126,1.41343,1.55727,1.58271,0.0013163,0.0013163,0.0013163
19,734.506,1.29415,1.47604,1.47837,0.79417,0.6133,0.72214,0.38492,1.39841,1.63666,1.59208,0.00129568,0.00129568,0.00129568
20,772.682,1.27805,1.46371,1.45343,0.67351,0.65361,0.70117,0.39083,1.39875,1.56069,1.58834,0.00127505,0.00127505,0.00127505
21,810.806,1.27412,1.42529,1.46017,0.77729,0.66273,0.7388,0.40532,1.40369,1.55641,1.60145,0.00125442,0.00125442,0.00125442
22,849.256,1.23298,1.39952,1.43744,0.67625,0.65765,0.71629,0.39846,1.3741,1.56033,1.57227,0.00123379,0.00123379,0.00123379
23,887.424,1.20948,1.38225,1.42486,0.65566,0.67823,0.70318,0.39711,1.36231,1.52316,1.57474,0.00121316,0.00121316,0.00121316
24,926.536,1.22026,1.36867,1.4258,0.69333,0.66133,0.68429,0.37669,1.39193,1.58871,1.60244,0.00119253,0.00119253,0.00119253
25,964.243,1.19631,1.33618,1.4095,0.6902,0.65789,0.69005,0.40012,1.36024,1.54657,1.58179,0.0011719,0.0011719,0.0011719
26,1002.09,1.18169,1.32072,1.39669,0.7815,0.65033,0.7215,0.41526,1.3643,1.50596,1.56181,0.00115127,0.00115127,0.00115127
27,1040.05,1.19385,1.29642,1.4094,0.70481,0.68352,0.72238,0.40811,1.33973,1.5074,1.54453,0.00113064,0.00113064,0.00113064
28,1077.92,1.19641,1.3112,1.40439,0.75626,0.58426,0.69683,0.39314,1.3887,1.53928,1.60543,0.00111001,0.00111001,0.00111001
29,1115.77,1.15851,1.25894,1.3805,0.73431,0.66108,0.72397,0.40865,1.39765,1.45663,1.58994,0.00108938,0.00108938,0.00108938
30,1153.58,1.16458,1.23721,1.38578,0.73799,0.69523,0.74344,0.4173,1.34098,1.40433,1.55941,0.00106876,0.00106876,0.00106876
31,1191.63,1.14598,1.24782,1.36741,0.69135,0.70725,0.74226,0.43196,1.32228,1.41312,1.53585,0.00104813,0.00104813,0.00104813
