epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.3245,1.71348,4.46698,1.64863,0.13087,0.18924,0.04622,0.01718,2.25142,6.41097,2.40919,0.000552035,0.000552035,0.000552035
2,86.6588,1.75918,2.76137,1.68153,0.79657,0.31723,0.33689,0.15599,1.79946,4.46004,1.95131,0.00108942,0.00108942,0.00108942
3,126.744,1.72341,2.64058,1.67663,0.42547,0.36823,0.35335,0.17219,1.96227,2.85429,2.03631,0.00160848,0.00160848,0.00160848
4,166.234,1.70272,2.5566,1.66272,0.56821,0.39158,0.38704,0.18461,1.72338,2.90745,1.80219,0.00158448,0.00158448,0.00158448
5,206.028,1.68793,2.41995,1.63489,0.49946,0.41312,0.38919,0.18487,1.83514,2.80288,1.8674,0.00155698,0.00155698,0.00155698
6,245.605,1.62655,2.36257,1.60108,0.51509,0.45691,0.48949,0.25799,1.53915,2.25941,1.65182,0.00152947,0.00152947,0.00152947
7,285.699,1.58294,2.16421,1.56733,0.5409,0.50822,0.53258,0.25872,1.59962,2.1638,1.69106,0.00150197,0.00150197,0.00150197
8,325.194,1.56658,2.14533,1.55275,0.52251,0.4278,0.46486,0.23377,1.67191,2.40222,1.69858,0.00147446,0.00147446,0.00147446
9,364.809,1.52732,2.08558,1.52426,0.49124,0.6115,0.56456,0.30457,1.47765,2.12576,1.61269,0.00144696,0.00144696,0.00144696
10,404.357,1.55251,2.05371,1.51376,0.65514,0.53359,0.60103,0.31385,1.54078,2.01854,1.62787,0.00141945,0.00141945,0.00141945
11,443.825,1.48443,1.94614,1.47429,0.61817,0.56888,0.61199,0.3244,1.516,1.93416,1.63619,0.00139195,0.00139195,0.00139195
12,483.364,1.48381,1.95278,1.48092,0.56378,0.58818,0.57174,0.29902,1.52198,1.91265,1.59402,0.00136444,0.00136444,0.00136444
13,523.686,1.46966,1.89143,1.47299,0.63453,0.61404,0.62116,0.32252,1.50546,2.0479,1.59452,0.00133693,0.00133693,0.00133693
14,564.499,1.453,1.90107,1.46101,0.51499,0.60631,0.59631,0.32324,1.43353,2.00955,1.50522,0.00130943,0.00130943,0.00130943
15,604.578,1.43592,1.82377,1.4513,0.7315,0.53809,0.61838,0.33168,1.49483,1.81785,1.55433,0.00128192,0.00128192,0.00128192
16,647.159,1.43633,1.82113,1.45375,0.59222,0.58228,0.5738,0.29944,1.54801,1.94852,1.59218,0.00125442,0.00125442,0.00125442
17,689.824,1.39907,1.77466,1.42325,0.60366,0.60673,0.62816,0.34807,1.4704,1.92346,1.54976,0.00122691,0.00122691,0.00122691
18,730.836,1.39199,1.75133,1.41563,0.65562,0.63726,0.65567,0.35201,1.42888,1.81592,1.49793,0.00119941,0.00119941,0.00119941
19,771.268,1.37629,1.67448,1.39322,0.57678,0.6667,0.66753,0.35056,1.4124,1.73134,1.45906,0.0011719,0.0011719,0.0011719
20,811.686,1.37268,1.70728,1.40521,0.67259,0.5951,0.61741,0.34469,1.42904,1.82403,1.48714,0.0011444,0.0011444,0.0011444
21,851.807,1.35019,1.70316,1.3776,0.62631,0.62779,0.65962,0.38057,1.36694,1.69704,1.44574,0.00111689,0.00111689,0.00111689
22,892.372,1.35228,1.6407,1.38106,0.69498,0.65932,0.7031,0.40082,1.36269,1.60568,1.44431,0.00108938,0.00108938,0.00108938
23,932.752,1.33485,1.65486,1.38299,0.67893,0.56674,0.66492,0.38118,1.41513,1.63191,1.48468,0.00106188,0.00106188,0.00106188
24,972.44,1.33969,1.596,1.3753,0.61911,0.70037,0.70906,0.39471,1.38255,1.59717,1.46579,0.00103437,0.00103437,0.00103437
25,1012.37,1.31054,1.58623,1.36573,0.73393,0.64708,0.72433,0.4004,1.333,1.58043,1.41483,0.00100687,0.00100687,0.00100687
26,1052.63,1.31454,1.58774,1.35777,0.70814,0.64499,0.7018,0.41178,1.34219,1.6162,1.44453,0.000979362,0.000979362,0.000979362
27,1092.5,1.30096,1.54132,1.34536,0.74625,0.64108,0.72607,0.41908,1.37045,1.57582,1.43085,0.000951857,0.000951857,0.000951857
28,1132.6,1.29445,1.54762,1.3458,0.6798,0.69582,0.72089,0.41666,1.32765,1.53498,1.43195,0.000924352,0.000924352,0.000924352
29,1172.62,1.28138,1.5033,1.32858,0.68851,0.71646,0.74249,0.43006,1.32844,1.49907,1.4037,0.000896846,0.000896846,0.000896846
30,1212.93,1.27782,1.5087,1.32381,0.7647,0.65411,0.74082,0.41541,1.30757,1.56382,1.39191,0.00086934,0.00086934,0.00086934
31,1252.44,1.2625,1.4776,1.32737,0.79068,0.63088,0.722,0.41596,1.31198,1.52845,1.41009,0.000841835,0.000841835,0.000841835
32,1291.5,1.24862,1.45925,1.31641,0.7907,0.62425,0.72427,0.41023,1.37331,1.53857,1.42831,0.000814329,0.000814329,0.000814329
33,1330.75,1.23542,1.42508,1.29292,0.7146,0.63288,0.7252,0.41503,1.32109,1.49299,1.39922,0.000786824,0.000786824,0.000786824
34,1370.27,1.23515,1.40228,1.30412,0.78696,0.64264,0.75788,0.4355,1.29775,1.46751,1.37809,0.000759318,0.000759318,0.000759318
35,1409.95,1.22772,1.39835,1.29512,0.81237,0.62779,0.77075,0.45081,1.29651,1.41933,1.37726,0.000731813,0.000731813,0.000731813
36,1449.5,1.23321,1.38703,1.30866,0.78099,0.62885,0.72567,0.42136,1.33687,1.45953,1.38776,0.000704307,0.000704307,0.000704307
37,1488.83,1.21386,1.39643,1.28932,0.80362,0.66348,0.74944,0.45048,1.30598,1.40496,1.39725,0.000676802,0.000676802,0.000676802
38,1528.41,1.19307,1.36247,1.27603,0.81253,0.65607,0.75122,0.43506,1.31062,1.44797,1.3854,0.000649297,0.000649297,0.000649297
39,1567.72,1.18665,1.33347,1.27306,0.80873,0.65934,0.75091,0.45335,1.29998,1.3991,1.38118,0.000621791,0.000621791,0.000621791
40,1607.73,1.20706,1.3391,1.28794,0.78635,0.64834,0.73663,0.43894,1.29466,1.4039,1.38031,0.000594286,0.000594286,0.000594286
41,1647.3,1.16663,1.31386,1.25497,0.78333,0.69049,0.75833,0.44865,1.2681,1.35967,1.37788,0.00056678,0.00056678,0.00056678
42,1686.65,1.16203,1.27809,1.25748,0.75999,0.7181,0.78087,0.44577,1.29367,1.35188,1.3772,0.000539275,0.000539275,0.000539275
43,1725.86,1.15909,1.26006,1.2639,0.75336,0.70105,0.75456,0.44401,1.30493,1.36338,1.3592,0.000511769,0.000511769,0.000511769
44,1765.19,1.15582,1.27042,1.25254,0.78414,0.6911,0.77175,0.46442,1.25687,1.32175,1.3596,0.000484263,0.000484263,0.000484263
45,1805.01,1.15266,1.26331,1.25506,0.76277,0.66642,0.7613,0.45996,1.26391,1.31525,1.35357,0.000456758,0.000456758,0.000456758
46,1844.57,1.1417,1.23646,1.23892,0.79055,0.70081,0.76105,0.45452,1.28733,1.34455,1.38129,0.000429253,0.000429253,0.000429253
