epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.8446,1.68151,4.35984,1.54511,0.48214,0.40929,0.40317,0.19082,1.72714,3.40974,1.63677,0.000552035,0.000552035,0.000552035
2,59.3282,1.62922,3.10255,1.51624,0.42136,0.50019,0.38908,0.18471,1.80943,4.68803,1.77049,0.00109399,0.00109399,0.00109399
3,85.8562,1.63112,2.72953,1.52536,0.35435,0.39469,0.38322,0.18576,1.76859,2.9225,1.7202,0.0016222,0.0016222,0.0016222
4,112.014,1.63821,2.53471,1.52662,0.48619,0.48013,0.46297,0.22055,1.7776,2.52635,1.66763,0.00160511,0.00160511,0.00160511
5,138.293,1.59023,2.35947,1.49379,0.41101,0.4995,0.48584,0.24133,1.6942,2.36109,1.55903,0.00158448,0.00158448,0.00158448
6,164.636,1.53822,2.21333,1.46034,0.4496,0.5929,0.55441,0.28429,1.53526,2.12189,1.46729,0.00156385,0.00156385,0.00156385
7,190.796,1.51557,2.09937,1.43853,0.49576,0.60182,0.57784,0.2892,1.55715,2.08487,1.49293,0.00154323,0.00154323,0.00154323
8,217.006,1.52078,2.1024,1.43877,0.58749,0.55059,0.56457,0.2844,1.56573,2.20766,1.48519,0.0015226,0.0015226,0.0015226
9,243.178,1.49025,1.99851,1.42531,0.53325,0.58677,0.56237,0.29083,1.52962,2.0608,1.4868,0.00150197,0.00150197,0.00150197
10,269.87,1.48474,1.97193,1.41079,0.64858,0.60232,0.60459,0.32627,1.45616,1.95405,1.42,0.00148134,0.00148134,0.00148134
11,296.321,1.44148,1.91238,1.38949,0.60269,0.6002,0.6234,0.32745,1.52289,2.005,1.50444,0.00146071,0.00146071,0.00146071
12,322.268,1.46506,1.92103,1.40928,0.67681,0.65161,0.67462,0.36441,1.46551,1.80611,1.42341,0.00144008,0.00144008,0.00144008
13,348.462,1.44633,1.87993,1.39675,0.66697,0.5484,0.62402,0.33695,1.48709,1.95572,1.45741,0.00141945,0.00141945,0.00141945
14,374.746,1.42615,1.84685,1.37972,0.61939,0.65839,0.66967,0.36558,1.44783,1.7731,1.42625,0.00139882,0.00139882,0.00139882
15,400.738,1.41956,1.78498,1.38184,0.71829,0.58144,0.68676,0.39327,1.37713,1.69309,1.36898,0.00137819,0.00137819,0.00137819
16,426.909,1.40866,1.79238,1.37339,0.6761,0.53183,0.6326,0.35289,1.4456,1.80543,1.40517,0.00135756,0.00135756,0.00135756
17,452.985,1.39458,1.76582,1.36424,0.70038,0.53514,0.62895,0.34499,1.45079,1.81843,1.43856,0.00133693,0.00133693,0.00133693
18,478.889,1.38742,1.72853,1.35475,0.7239,0.6259,0.69127,0.38212,1.39595,1.67102,1.38617,0.0013163,0.0013163,0.0013163
19,505.256,1.36824,1.69327,1.34696,0.65979,0.68586,0.70277,0.3774,1.41589,1.65371,1.4103,0.00129568,0.00129568,0.00129568
20,531.336,1.34638,1.70538,1.34402,0.63539,0.64495,0.67936,0.38383,1.41784,1.67308,1.39459,0.00127505,0.00127505,0.00127505
21,557.553,1.34652,1.6898,1.33262,0.66627,0.65711,0.68958,0.387,1.41487,1.63661,1.40738,0.00125442,0.00125442,0.00125442
22,583.79,1.35175,1.65498,1.33764,0.74701,0.64543,0.73284,0.40717,1.37641,1.56496,1.38908,0.00123379,0.00123379,0.00123379
